Name,Extracted_name,Value,Raw_unit,Type
LiNO3,"[{'Li': '1.0', 'N': '1.0', 'O': '3.0'}]",0.00113,Scm−1,None
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",1E-7,Scm−1,None
NiOOH,"[{'Ni': '1.0', 'O': '2.0', 'H': '1.0'}]",1E-8,Scm−1,None
Li2O,"[{'Li': '2.0', 'O': '1.0'}]",2.35E-6,S/cm,None
P2S5,"[{'P': '2.0', 'S': '5.0'}]",0.0032,Scm−1,None
NASICON,"[{'Na': 'x+1', 'Zr': '2.0', 'Si': 'x', 'P': '3-x', 'O': '12.0'}]",0.001,S/cm,None
PEDOT / MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",0.209,Scm−1,None
LiPON,"[{'Li': '1.0', 'P': '1.0', 'O': '1.0', 'N': '1.0'}]",2E-6,Scm−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",0.00001,Scm−1,None
PPBs,"[{'P': '2.0', 'B': 's'}]",1E-6,Scm−1,None
Li3.4Si0.4P0.6S4,"[{'Li': '3.4', 'Si': '0.4', 'P': '0.6', 'S': '4.0'}]",0.012,Scm−1,None
YP-80F carbon,"[{'Y': '1.0', 'P': '-80.0', 'F': '1.0'}]",0.0003,mScm−1,None
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",1E-9,Scm−1,None
NaCl,"[{'Na': '1.0', 'Cl': '1.0'}]",0.047,Scm−1,None
Zirconium phosphate,"[{'P': '4.0', 'O': '16.0', 'Zr': '3.0'}]",0.001,S/cm,None
LTO-N,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",1.48E-7,Scm−1,None
Li2ZnTi3O8 / C,"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}, {'C': '1.0'}]",0.00891,Scm−1,None
LiPF6,"[{'Li': '1.0', 'P': '1.0', 'F': '6.0'}]",0.001,Scm−1,None
Alumina,"[{'Al': '2.0', 'O': '3.0'}]",0.00001469,mScm−1,None
