Name,Extracted_name,Value,Raw_unit,Type
SnNi,"[{'Sn': '1.0', 'Ni': '1.0'}]",409.6,Wh/kg,None
NVP / C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",114,Whkg−1,Cath
(NH4)3FeF6,"[{'N': '3.0', 'H': '12.0', 'Fe': '1.0', 'F': '6.0'}]",1019.25,Wh/kg,None
Zinc oxides,"[{'Zn': '1.0', 'O': '1.0'}]",2213.4666667,Wh/kg,None
NaCl,"[{'Na': '1.0', 'Cl': '1.0'}]",9,Whkg−1,None
Ni3S2 / Carbon / / AC,"[{'Ni': '3.0', 'S': '2.0'}]",19.8,Whkg−1,None
CoNiSe2 / / AC,"[{'Co': '1.0', 'Ni': '1.0', 'Se': '2.0'}]",29.1,Whkg−1,None
Cobalt molybdate,"[{'Mo': '3.0', 'O': '12.0', 'Co': '2.0'}]",5,Whkg−1,None
MoS2–Ni9S8–C,"[{'Mo': '1.0', 'S': '2.0'}]",171,Wh/kg,None
Co(OH)2 / Ni,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}, {'Ni': '1.0'}]",273,Wh/kg,None
Na / Na,"[{'Na': '1.0'}, {'Na': '1.0'}]",268.71666667,Wh/kg,None
Cd2SnO4–SnO2 micro-cube,"[{'Cd': '2.0', 'Sn': '1.0', 'O': '4.0'}]",415.3,Wh/kg,None
Manganese dioxide,"[{'Mn': '1.0', 'O': '2.0'}]",165,Wh/kg,None
Co3O4–GNS nano,"[{'Co': '3.0', 'O': '4.0'}]",7,Whkg−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",586.5,Whkg−1,None
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",563.9,Whkg−1,None
NVPOF,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'O': '1.0', 'F': '1.0'}]",96.3,Whkg−1,None
CuO @ C multi-yolk-shell,"[{'Cu': '1.0', 'O': '1.0'}]",1100.6666667,Wh/kg,None
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",75.67,Whkg−1,None
"C / 5, C / 2, 1 C, 2 C, 5 C, 10 C","[{'C': '1.0'}, {'C': '1.0'}]",784.55,Wh/kg,None
Ni0.5Co0.5O,"[{'Ni': '0.5', 'Co': '0.5', 'O': '1.0'}]",19.3,Whkg−1,None
LTO / graphene,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",36,Whkg−1,None
SnO2 / CMK-3,"[{'Sn': '1.0', 'O': '2.0'}]",1710.616875,Wh/kg,None
Si / d-Ti3C2,"[{'Si': '1.0'}, {'Ti': '3.0', 'C': '2.0'}]",1212.5111111,Wh/kg,None
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",518,Wh/kg,None
KC850,"[{'K': '1.0', 'C': '850.0'}]",921.4,Wh/kg,None
Ni(OH)2 / / AC-based,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",27.1,Whkg−1,None
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",540,Whkg−1,None
Vanadium sulphate,"[{'S': '5.0', 'O': '20.0', 'V': '2.0'}]",20,Whkg−1,None
CuO / C-LFP,"[{'Cu': '1.0', 'O': '1.0'}]",174.40166667,Wh/kg,None
LTO / graphene,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",52,Whkg−1,None
MnFe,"[{'Mn': '1.0', 'Fe': '1.0'}]",422.75,Wh/kg,None
NiH2,"[{'Ni': '1.0', 'H': '2.0'}]",117,Wh/kg,None
Li3In,"[{'Li': '3.0', 'In': '1.0'}]",408.068,Wh/kg,None
AC / / Nb2O5,"[{'Nb': '2.0', 'O': '5.0'}]",40,Whkg−1,None
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",410,Whkg−1,Cath
