Name,Extracted_name,Value,Raw_unit,Type,Molecular_weight
Na0.44Mn0.6Ni0.4O2,"[{'Na': '0.44', 'Mn': '0.6', 'Ni': '0.4', 'O': '2.0'}]",4.0,V,Cath,98.5536
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",2.0,VversusL,Cath,160.07
31-Na2C4O4,"[{'Na': '2.0', 'C': '4.0', 'O': '4.0'}]",3.85,V,Cath,158.02
V2O5-YS,"[{'V': '2.0', 'O': '5.0'}]",2.91,V,Cath,181.878
SnS2 / CNTs,"[{'Sn': '1.0', 'S': '2.0'}]",0.6,V,Anod,182.82999999999998
Mn2O3 / LiMn2O4,"[{'Mn': '2.0', 'O': '3.0'}, {'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.15,V,Cath,338.68499999999995
GeP5 / C,"[{'Ge': '1.0', 'P': '5.0'}, {'C': '1.0'}]",0.72,V,Anod,239.511
V2O5,"[{'V': '2.0', 'O': '5.0'}]",3.5,V vs. Li,Cath,181.878
NKVO @ V2O5,"[{'N': '1.0', 'K': '1.0', 'V': '1.0', 'O': '1.0'}, {'V': '2.0', 'O': '5.0'}]",1.0,V vs,Anod,301.9235
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",5.0,V,Cath,180.812
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",3.0,V,Cath,180.812
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",1.0,V,Anod,109.744
Co2P,"[{'Co': '2.0', 'P': '1.0'}]",3.5,V,Cath,148.84
Li2FeSiO4 / C,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",3.2,V,Cath,173.817
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",0.87,V,Anod,240.79500000000002
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",1.95,V,Cath,180.812
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",4.0,V,Cath,182.6895
SnS2 / CNTs,"[{'Sn': '1.0', 'S': '2.0'}]",0.45,V,Anod,182.82999999999998
LiCoPO4,"[{'Li': '1.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0'}]",5.0,V,Cath,160.84300000000002
H2SO4,"[{'H': '2.0', 'S': '1.0', 'O': '4.0'}]",1.23,V,Cath,98.072
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.2,V,Cath,97.87100000000001
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.41,V,Cath,157.755
Mn3V19-HIL / RGO-1,"[{'Mn': '3.0', 'V': '19.0'}]",3.5,VversusL,Cath,1132.7024999999999
Pd / PNCNF-3,"[{'Pd': '1.0'}, {'P': '1.0', 'N': '2.0', 'C': '1.0', 'F': '1.0'}]",4.14,V,Cath,196.417
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",1.028,V,Cath,207.091
5 V LiFe0.5Mn1.5O4,"[{'V': '1.0', 'Li': '1.0', 'Fe': '0.5', 'Mn': '1.5', 'O': '4.0'}]",5.0,V,Cath,232.20700000000002
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",4.5,V,Cath,112.839
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",3.8,V,Anod,74.692
LiMn1.5Ni0.5O4,"[{'Li': '1.0', 'Mn': '1.5', 'Ni': '0.5', 'O': '4.0'}]",4.7,Vvs.Li+,Cath,182.6895
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",1.55,V,Anod,109.744
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",4.2,V,Cath,157.755
NaVOPO4 / C,"[{'Na': '1.0', 'V': '1.0', 'O': '5.0', 'P': '1.0'}, {'C': '1.0'}]",2.8,V,Cath,196.9115
Na2Ti3O7,"[{'Na': '2.0', 'Ti': '3.0', 'O': '7.0'}]",3.1,V,Anod,301.574
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",4.6,V versus,Cath,96.4535812
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.5,V,Cath,157.755
Lithium oxide,"[{'Li': '2.0', 'O': '1.0'}]",4.8,V,Cath,29.879
Li[Co-Ni]PO4,"[{'Li': '1.0', 'Co': '1.0'}]",4.5,V,Cath,65.873
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.1,V,Cath,97.87100000000001
NaTi2(PO4)3 @ CNT,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",2.08,V,Anod,403.63399999999996
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",3.8,V,Cath,97.87100000000001
PbO2 lead acid,"[{'Pb': '1.0', 'O': '2.0'}]",1.2,V,Cath,239.19799999999998
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",0.8,mV vs,Anod,150.708
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",1.062,V,Anod,81.37899999999999
Ferrous chloride,"[{'Fe': '1.0', 'Cl': '2.0'}]",0.24,V,Cath,126.745
Mo6S8,"[{'Mo': '6.0', 'S': '8.0'}]",1.0,V,Cath,832.1800000000001
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",0.0559,mV,Cath,74.692
Na-doped Li 3 V 2 ( PO 4 ) 3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",3.0,V,Cath,419.62399999999997
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.2,V,Cath,97.87100000000001
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",1.4,VversusL,Cath,79.545
CuS,"[{'Cu': '1.0', 'S': '1.0'}]",3.0,VvsLi,Cath,95.606
NaTi2(PO4)3 @ CNT,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",3.0,Vvs.Na,Anod,403.63399999999996
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.45,V,Cath,157.755
Na3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",2.65,V,Cath,467.774
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.38,V,Cath,157.755
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",3.0,V,Cath,182.6895
Mn3O4 / Fe3O4,"[{'Mn': '3.0', 'O': '4.0'}, {'Fe': '3.0', 'O': '4.0'}]",0.73,V,Anod,460.341
V2O5,"[{'V': '2.0', 'O': '5.0'}]",2.5,V,Cath,181.878
LiNi0.4Mn0.4Co0.2O2,"[{'Li': '1.0', 'Ni': '0.4', 'Mn': '0.4', 'Co': '0.2', 'O': '2.0'}]",4.5,V,Cath,96.177
LiNi0.8Co0.2O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",3.6,V,Cath,97.679
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.3,Vvs.Li,Cath,97.87100000000001
Li2NaV2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '2.0', 'Na': '1.0', 'V': '2.0'}]",1.0,V,Anod,423.66299999999995
CNT / CoS @ C,"[{'Co': '1.0', 'S': '1.0', 'C': '1.0'}]",3.0,V,Anod,103.00399999999999
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",1.0,V,Cath,70.937
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",5.0,V,Cath,182.6895
Na0.67Mn0.65Ni0.2Co0.15O2,"[{'Na': '0.67', 'Mn': '0.65', 'Ni': '0.2', 'Co': '0.15', 'O': '2.0'}]",4.2,V,Cath,103.68955000000001
Li1.05Mn1.96O4,"[{'Li': '1.05', 'Mn': '1.96', 'O': '4.0'}]",4.0,V,Cath,178.96148000000002
FeS2,"[{'Fe': '1.0', 'S': '2.0'}]",1.7,V,Anod,119.965
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",3.3,V,Cath,169.766
S / C,"[{'S': '1.0'}, {'C': '1.0'}]",2.04,V,Cath,44.071
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",2.0,V,Cath,169.766
Cu2Se,"[{'Cu': '2.0', 'Se': '1.0'}]",0.2,V,Cath,206.063
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.0,VvsLi,Cath,97.87100000000001
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",2.3,V,Anod,459.08299999999997
Sn / Na2Sn(PO4)2,"[{'Sn': '1.0'}, {'P': '2.0', 'O': '8.0', 'Na': '2.0', 'Sn': '1.0'}]",0.59,V,Anod,473.34
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",5.0,V,Cath,182.6895
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.2,V,Cath,97.87100000000001
V2O5,"[{'V': '2.0', 'O': '5.0'}]",3.8,V,Cath,181.878
LiNa2V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '1.0', 'Na': '2.0', 'V': '2.0'}]",3.0,V,Anod,439.71299999999997
AlN,"[{'Al': '1.0', 'N': '1.0'}]",0.65,V,Anod,40.989
V2O5âB2O3,"[{'V': '2.0', 'O': '5.0'}]",3.5,V vs Li,Cath,181.878
Sb2Se3,"[{'Sb': '2.0', 'Se': '3.0'}]",0.05,Vvs.K+,Anod,480.433
LiNi0.5Co0.2Mn0.3O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3', 'O': '2.0'}]",3.0,Vvs.Li,Cath,96.5525
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.4,VversusL,Cath,157.755
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",4.0,V,Cath,169.77
Iron fluoride,"[{'Fe': '1.0', 'F': '3.0'}]",4.5,V,Cath,112.839
