Compound_name,Extracted_name,Molecular_weight,Type,Efficiency_in_percent
LiNi0.8Co0.2O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",97.679,Cath,79.3
TiC / C-S,"[{'Ti': '1.0', 'C': '1.0'}]",59.878,Cath,98.7
LiNi1 / 3Co1 / 3Mn1 /,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '1.0'}]",101.0827458,Cath,93.0
Si20Co10C70,"[{'Si': '20.0', 'Co': '10.0', 'C': '70.0'}]",1991.8,Anod,83.3
Fe2F5 Â· H2O,"[{'H': '2.0', 'O': '1.0'}]",18.015,Cath,67.0
Li4Ti5O12 @ C,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'C': '1.0'}]",471.094,Anod,99.0
CoSe2 @ C / CNTs,"[{'Co': '1.0', 'Se': '2.0', 'C': '1.0'}]",228.886,Anod,80.0
LiNi0.7Co0.15Mn0.15O2,"[{'Li': '1.0', 'Ni': '0.7', 'Co': '0.15', 'Mn': '0.15', 'O': '2.0'}]",97.10375,Cath,93.3
CNTs @ SnO2 / SnO / Sn,"[{'Sn': '1.0', 'O': '1.0'}, {'Sn': '1.0'}]",253.419,Anod,72.0
Li21Si5,"[{'Li': '21.0', 'Si': '5.0'}]",286.165,Anod,95.2
CoO,"[{'Co': '1.0', 'O': '1.0'}]",74.932,Anod,73.8
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",240.555,Cath,91.0
NaCrO2,"[{'Na': '1.0', 'Cr': '1.0', 'O': '2.0'}]",106.984,Cath,55.0
CoCO3,"[{'Co': '1.0', 'C': '1.0', 'O': '3.0'}]",118.941,Anod,75.2
Zn2+-doped BaFe12O19,"[{'Ba': '1.0', 'Fe': '12.0', 'O': '19.0'}]",1111.451,Anod,90.0
VB2,"[{'V': '1.0', 'B': '2.0'}]",72.5615,Anod,82.0
Na3V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0', 'F': '3.0'}]",417.7869999999999,Cath,98.5
ZnSiP2 / C,"[{'Zn': '1.0', 'Si': '1.0', 'P': '2.0'}, {'C': '1.0'}]",167.424,Anod,99.5
MoS2 / C,"[{'Mo': '1.0', 'S': '2.0'}, {'C': '1.0'}]",172.081,Anod,99.0
NaI / Ni,"[{'Na': '1.0', 'I': '1.0'}, {'Ni': '1.0'}]",208.58300000000003,Cath,100.0
BiVO4,"[{'Bi': '1.0', 'V': '1.0', 'O': '4.0'}]",323.9175,Anod,67.0
CNT / CoS @ C,"[{'Co': '1.0', 'S': '1.0', 'C': '1.0'}]",103.004,Anod,99.6
NiMn2O4 @ rGO,"[{'Ni': '1.0', 'Mn': '2.0', 'O': '4.0'}]",232.56500000000003,Anod,61.7
MoTe2,"[{'Mo': '1.0', 'Te': '2.0'}]",351.15,Anod,99.0
VS2,"[{'V': '1.0', 'S': '2.0'}]",115.0615,Anod,94.0
Sn / C,"[{'Sn': '1.0'}, {'C': '1.0'}]",130.721,Anod,80.1
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095000000000006,Anod,100.0
ZnFe2O4 @ C nano-whiskers,"[{'Zn': '1.0', 'Fe': '2.0', 'O': '4.0'}]",241.066,Anod,98.4
FeHCCo,"[{'Fe': '1.0', 'H': '1.0', 'C': '1.0', 'Co': '1.0'}]",127.797,Cath,99.6
FeFe(CN)6,"[{'C': '6.0', 'N': '6.0', 'Fe': '2.0'}]",267.798,Cath,93.2
S-TCS / ZnO(6),"[{'Zn': '1.0', 'O': '6.0'}]",161.374,Cath,99.5
CuO / Cu2O / Carbon,"[{'Cu': '1.0', 'O': '1.0'}, {'Cu': '2.0', 'O': '1.0'}]",222.636,Anod,99.0
RGO / WS2-S,"[{'W': '1.0', 'S': '2.0'}]",247.96,Cath,100.0
Zn2SnO4,"[{'Zn': '2.0', 'Sn': '1.0', 'O': '4.0'}]",313.46599999999995,Anod,96.0
