Compound_name,Extracted_name,Molecular_weight,Type,Energy_in_Watt_hour_per_kg
Graphene @ Nb2O5,"[{'Nb': '2.0', 'O': '5.0'}]",265.807,Anod,112.9
Li2MnSiO4,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}]",160.899,Cath,550.0
LiNi0.6Co0.2Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",96.928,Cath,455.0
NVPOF,"[{'N': '1.0', 'V': '1.0', 'P': '1.0', 'O': '1.0', 'F': '1.0'}]",130.9195,Cath,494.0
Li1.231Mn0.615Ni0.154O2,"[{'Li': '1.231', 'Mn': '0.615', 'Ni': '0.154', 'O': '2.0'}]",83.366732,Cath,906.0
5 V LiNi0.5Mn1.5O4,"[{'V': '1.0', 'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",233.631,Cath,521.0
Na4Fe3(PO4)2(P2O7),"[{'P': '4.0', 'O': '15.0', 'Na': '4.0', 'Fe': '3.0'}]",623.376,Cath,96.0
CoS2,"[{'Co': '1.0', 'S': '2.0'}]",123.053,Cath,416.9
(NH4)2V3O8 / C,"[{'N': '2.0', 'H': '8.0', 'V': '3.0', 'O': '8.0'}, {'C': '1.0'}]",328.9055,Cath,334.0
LiNi0.76Mn0.14Co0.10O2,"[{'Li': '1.0', 'Ni': '0.76', 'Mn': '0.14', 'Co': '0.1', 'O': '2.0'}]",97.1293,Cath,849.0
Lithium cobalt oxide,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,450.0
NaBr / Ni,"[{'Na': '1.0', 'Br': '1.0'}, {'Ni': '1.0'}]",161.587,Cath,174.0
Ni3(Fe(CN)6)2,"[{'C': '12.0', 'N': '12.0', 'Fe': '2.0', 'Ni': '3.0'}]",599.985,Cath,62.9
AC / Li3N,"[{'Li': '3.0', 'N': '1.0'}]",34.827,Cath,74.7
LiCoPO4,"[{'Li': '1.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0'}]",160.843,Cath,800.0
Iron sulfide,"[{'Fe': '2.0', 'S': '3.0'}]",207.87,Cath,450.0
Fluorine-doped Na3V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0', 'F': '3.0'}]",417.787,Cath,97.5
H2Ti12O25,"[{'H': '2.0', 'Ti': '12.0', 'O': '25.0'}]",976.395,Anod,35.0
Mn0.2V2O5Â·0.9H2O,"[{'Mn': '0.2', 'V': '2.0', 'O': '5.0'}]",192.8656,Cath,500.0
Zn0.25V2O5Â·nH2O,"[{'Zn': '0.25', 'V': '2.0', 'O': '5.0'}]",198.223,Cath,250.0
CoMoO4,"[{'Co': '1.0', 'Mo': '1.0', 'O': '4.0'}]",218.879,Cath,74.7
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",112.839,Cath,612.0
NiCo2O4,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",240.555,Cath,10.4
SnS2,"[{'Sn': '1.0', 'S': '2.0'}]",182.83,Anod,361.7
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Anod,215.0
