Compound_name,Extracted_name,Molecular_weight,Type,Voltage_in_V
Li1.2Ni0.13Mn0.54Co0.13O2,"[{'Li': '1.2', 'Ni': '0.13', 'Mn': '0.54', 'Co': '0.13', 'O': '2.0'}]",85.2839,Cath,1.75
ZnSe-NC @ CoSe2-NC,"[{'Zn': '1.0', 'Se': '1.0'}, {'Co': '1.0', 'Se': '2.0'}]",361.226,Anod,1.72
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",82.948,Anod,0.5
LiNi0.6Co0.3Ti0.1O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.3', 'Ti': '0.1', 'O': '2.0'}]",96.6204,Cath,4.2
Zn2Ti3O8,"[{'Zn': '2.0', 'Ti': '3.0', 'O': '8.0'}]",402.353,Anod,0.97
Li3N-Li,"[{'Li': '3.0', 'N': '1.0'}]",34.827,Anod,2.5
Ni / Si,"[{'Ni': '1.0'}, {'Si': '1.0'}]",86.77799999999999,Anod,1.5
Mn2O3,"[{'Mn': '2.0', 'O': '3.0'}]",157.873,Anod,3.0
MnCo2O4,"[{'Mn': '1.0', 'Co': '2.0', 'O': '4.0'}]",236.8,Cath,0.85
PdO / C,"[{'Pd': '1.0', 'O': '1.0'}, {'C': '1.0'}]",134.43,Cath,3.15
In2O3,"[{'In': '2.0', 'O': '3.0'}]",277.637,Cath,1.2
LiMn0.6Fe0.4PO4 / C,"[{'Li': '1.0', 'Mn': '0.6', 'Fe': '0.4', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.2218,Cath,4.08
Na3V3(PO4)4,"[{'P': '4.0', 'O': '16.0', 'Na': '3.0', 'V': '3.0'}]",601.6745000000001,Cath,3.9
Li2MnSiO4,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}]",160.899,Cath,2.2
CoO / r-NLG,"[{'Co': '1.0', 'O': '1.0'}]",74.932,Cath,0.62
WO3,"[{'W': '1.0', 'O': '3.0'}]",231.837,Cath,4.5
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",54.103,Anod,0.9
Li / Au / Cu,"[{'Li': '1.0'}, {'Au': '1.0'}, {'Cu': '1.0'}]",267.456,Anod,0.0921
3Mn0.8Fe0.1Ti0.1O2,"[{'Mn': '0.8', 'Fe': '0.1', 'Ti': '0.1', 'O': '2.0'}]",86.31960000000001,Cath,4.0
Li1.17Ni0.25Mn0.58O2,"[{'Li': '1.17', 'Ni': '0.25', 'Mn': '0.58', 'O': '2.0'}]",86.65509,Cath,4.6
LiNi0.5Co0.5PO4 / C,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.5', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.734,Cath,4.71
Ir / B4C,"[{'Ir': '1.0'}, {'B': '4.0', 'C': '1.0'}]",247.471,Cath,4.37
V2O3 / C,"[{'V': '2.0', 'O': '3.0'}, {'C': '1.0'}]",161.891,Anod,3.0
MgH2 / CoO,"[{'Mg': '1.0', 'H': '2.0'}, {'Co': '1.0', 'O': '1.0'}]",101.253,Anod,0.075
IrO2,"[{'Ir': '1.0', 'O': '2.0'}]",224.218,Anod,1.8
Fe2(CN)6,"[{'C': '6.0', 'N': '6.0', 'Fe': '2.0'}]",267.798,Cath,3.47
LiMn204,"[{'Li': '1.0', 'Mn': '204.0'}]",11214.292,Cath,3.0
Cobalt oxide,"[{'Co': '2.0', 'O': '3.0'}]",165.863,Cath,2.75
Li4Ti5O12 @ C,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'C': '1.0'}]",471.094,Anod,1.0
OCs-CNTs,"[{'O': '1.0', 'Cs': '1.0'}]",148.909,Cath,3.69
LiMn0.5Ni0.5O2,"[{'Li': '1.0', 'Mn': '0.5', 'Ni': '0.5', 'O': '2.0'}]",95.7535,Cath,5.11
KMnO4,"[{'K': '1.0', 'Mn': '1.0', 'O': '4.0'}]",158.032,Cath,2.8
S @ MnO2,"[{'S': '1.0'}, {'Mn': '1.0', 'O': '2.0'}]",118.996,Cath,2.1
MoO2,"[{'Mo': '1.0', 'O': '2.0'}]",127.948,Anod,0.35
Na3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}]",455.763,Cath,3.4
LiFe0.4Mn0.4Co0.2PO4 / C-based,"[{'Li': '1.0', 'Fe': '0.4', 'Mn': '0.4', 'Co': '0.2', 'P': '1.0', 'O': '4.0'}]",158.0098,Cath,5.0
Na4Fe3(PO4)2(P2O7),"[{'P': '4.0', 'O': '15.0', 'Na': '4.0', 'Fe': '3.0'}]",623.376,Cath,4.2
Fe2N @ C / CNTs,"[{'Fe': '2.0', 'N': '1.0', 'C': '1.0'}]",137.708,Anod,3.0
Li2NiPO4F,"[{'Li': '2.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",186.541,Cath,5.3
