Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",240.795,Cath,428.0
MnO @ C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",82.948,Anod,470.0
Li2MgSnO4,"[{'Li': '2.0', 'Mg': '1.0', 'Sn': '1.0', 'O': '4.0'}]",220.891,Anod,590.0
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",339.70000000000005,Anod,917.0
LiCoPO4 / C,"[{'Li': '1.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.854,Cath,56.0
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,142.0
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Anod,670.0
LiNi0.45Mn0.45Co0.1O2,"[{'Li': '1.0', 'Ni': '0.45', 'Mn': '0.45', 'Co': '0.1', 'O': '2.0'}]",95.96525,Cath,168.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,117.3
LiV3O8 @ GO,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",287.7565,Cath,194.4
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Anod,1629.9
LiNi0.45Mn0.45Co0.1O2,"[{'Li': '1.0', 'Ni': '0.45', 'Mn': '0.45', 'Co': '0.1', 'O': '2.0'}]",95.96525,Cath,162.0
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",112.839,Cath,452.0
Cu6Sn5 @ SnO2âC,"[{'Cu': '6.0', 'Sn': '5.0'}, {'Sn': '1.0', 'O': '2.0'}]",1125.534,Anod,670.0
Sb2O3,"[{'Sb': '2.0', 'O': '3.0'}]",291.517,Anod,435.6
Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",231.531,Anod,625.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,1200.0
TiO2-S,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,570.0
S @ TiO2 / Ti2C,"[{'S': '1.0', 'Ti': '1.0', 'O': '2.0'}, {'Ti': '2.0', 'C': '1.0'}]",219.67,Cath,576.6
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,170.0
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,160.0
FeSe2 / C,"[{'Fe': '1.0', 'Se': '2.0'}, {'C': '1.0'}]",225.798,Anod,316.5
LiNi0.8Co0.15Mn0.05O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.15', 'Mn': '0.05', 'O': '2.0'}]",97.47925,Cath,167.3
Ammonium vanadate,"[{'N': '3.0', 'H': '12.0', 'V': '1.0', 'O': '4.0'}]",169.05450000000002,Cath,223.0
LiV3O8,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",287.7565,Cath,300.0
Zn2GeO4,"[{'Zn': '2.0', 'Ge': '1.0', 'O': '4.0'}]",267.386,Anod,1450.0
Li1.4Ni0.3Mn0.7O2.4,"[{'Li': '1.4', 'Ni': '0.3', 'Mn': '0.7', 'O': '2.4'}]",104.1781,Cath,329.6
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,100.0
NCF / Se,"[{'N': '1.0', 'C': '1.0', 'F': '1.0'}, {'Se': '1.0'}]",123.987,Cath,275.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,140.0
RGO @ p-FeS2 @ C,"[{'Fe': '1.0', 'S': '2.0'}, {'C': '1.0'}]",131.976,Anod,503.0
V3O7Â·H2O,"[{'V': '3.0', 'O': '7.0'}]",264.8175,Cath,60.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,145.0
LiC6,"[{'Li': '1.0', 'C': '6.0'}]",79.006,Anod,372.0
LiVOPO4âLi3V2(PO4)3,"[{'Li': '1.0', 'V': '1.0', 'O': '5.0', 'P': '1.0'}]",168.85049999999998,Cath,112.1
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,93.7
SnO2âFe2O3 @ C,"[{'Sn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",162.719,Anod,820.0
Na3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",467.774,Cath,96.8
Li2S6,"[{'Li': '2.0', 'S': '6.0'}]",206.24,Cath,883.0
Na3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",467.774,Cath,104.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,170.0
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Cath,95.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,159.0
MoS2 / CNTs-S,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Cath,1473.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,170.0
Li4Ti5O12 @ C,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'C': '1.0'}]",471.094,Anod,173.0
Phosphate,"[{'P': '1.0', 'O': '4.0'}]",94.97,Cath,200.0
NaV6O15,"[{'Na': '1.0', 'V': '6.0', 'O': '15.0'}]",568.624,Anod,110.0
NaCoF3,"[{'Na': '1.0', 'Co': '1.0', 'F': '3.0'}]",138.917,Cath,70.0
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",339.70000000000005,Anod,179.0
MoO2 / C,"[{'Mo': '1.0', 'O': '2.0'}, {'C': '1.0'}]",139.959,Anod,52.5
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,730.0
ZnS / Fe9S10 @ C,"[{'Zn': '1.0', 'S': '1.0'}, {'Fe': '9.0', 'S': '10.0', 'C': '1.0'}]",932.656,Anod,538.0
LiV3O8,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",287.7565,Cath,250.0
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,219.0
CuS,"[{'Cu': '1.0', 'S': '1.0'}]",95.606,Cath,165.0
Co9S8 / C-S,"[{'Co': '9.0', 'S': '8.0'}]",786.8770000000001,Cath,940.0
BiF3,"[{'Bi': '1.0', 'F': '3.0'}]",265.974,Cath,404.0
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Anod,1368.0
NaI / Ni,"[{'Na': '1.0', 'I': '1.0'}, {'Ni': '1.0'}]",208.58300000000003,Cath,44.0
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,130.0
Na0.75Mn0.7Ni0.23O2,"[{'Na': '0.75', 'Mn': '0.7', 'Ni': '0.23', 'O': '2.0'}]",101.19649,Cath,268.0
Mn3O4 / Fe3O4,"[{'Mn': '3.0', 'O': '4.0'}, {'Fe': '3.0', 'O': '4.0'}]",460.341,Anod,719.0
Fe3O4 / Ag,"[{'Fe': '3.0', 'O': '4.0'}, {'Ag': '1.0'}]",339.401,Anod,810.0
NIB,"[{'N': '1.0', 'I': '1.0', 'B': '1.0'}]",151.717,Anod,627.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,170.0
Fe2O3 @ C-NAA,"[{'Fe': '2.0', 'O': '3.0'}]",159.687,Anod,1449.2
LFP,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,100.0
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,1316.0
Bi2S3 / C,"[{'Bi': '2.0', 'S': '3.0'}, {'C': '1.0'}]",526.151,Anod,528.0
Mn3O4,"[{'Mn': '3.0', 'O': '4.0'}]",228.81000000000003,Anod,796.0
Ni3NâCo3N @ CNT,"[{'Ni': '3.0', 'N': '1.0'}]",190.086,Anod,674.0
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",81.37899999999999,Anod,500.0
FeHCF,"[{'Fe': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",87.86200000000001,Cath,50.0
Si / C,"[{'Si': '1.0'}, {'C': '1.0'}]",40.096,Anod,3590.0
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,117.5
Na0.7CoO2,"[{'Na': '0.7', 'Co': '1.0', 'O': '2.0'}]",107.024,Cath,80.0
Ni3NâCo3N @ CNT,"[{'Ni': '3.0', 'N': '1.0'}]",190.086,Anod,553.3
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,300.0
TiO2 / Ti3C2,"[{'Ti': '1.0', 'O': '2.0'}, {'Ti': '3.0', 'C': '2.0'}]",247.488,Anod,149.0
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",169.77,Anod,440.0
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",112.839,Cath,123.4
TiO2 / S,"[{'Ti': '1.0', 'O': '2.0'}, {'S': '1.0'}]",111.925,Cath,691.0
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,410.0
Na1.5VPO4.8F0.7,"[{'Na': '1.5', 'V': '1.0', 'P': '1.0', 'O': '4.8', 'F': '0.7'}]",206.4943,Cath,946.0
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",169.77,Anod,619.0
FePO4,"[{'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",150.815,Cath,140.0
Li1.2Ni0.2Mn0.6O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",85.0274,Cath,250.0
LiNiO2,"[{'Li': '1.0', 'Ni': '1.0', 'O': '2.0'}]",97.631,Cath,0.7
TiB2,"[{'Ti': '1.0', 'B': '2.0'}]",69.487,Anod,1300.0
LFP,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,108.0
Tungsten oxide,"[{'W': '1.0', 'O': '3.0'}]",231.837,Anod,481.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,216.0
ZnMn2O4,"[{'Zn': '1.0', 'Mn': '2.0', 'O': '4.0'}]",239.252,Anod,896.0
SnSe2,"[{'Sn': '1.0', 'Se': '2.0'}]",276.652,Anod,426.3
Si / Ge,"[{'Si': '1.0'}, {'Ge': '1.0'}]",100.715,Anod,1750.0
ZnS / Fe9S10 @ C,"[{'Zn': '1.0', 'S': '1.0'}, {'Fe': '9.0', 'S': '10.0', 'C': '1.0'}]",932.656,Anod,344.0
V2O5,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,180.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,140.0
Li1.20Mn0.534Ni0.133Co0.133O2,"[{'Li': '1.2', 'Mn': '0.534', 'Ni': '0.133', 'Co': '0.133', 'O': '2.0'}]",85.30715000000001,Cath,235.5
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,250.0
LiFePO4âAl @ CNT,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,127.6
Fe2O3 @ TiO2,"[{'Fe': '2.0', 'O': '3.0'}, {'Ti': '1.0', 'O': '2.0'}]",239.552,Anod,753.7
Li4Ti5O12 @ C,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'C': '1.0'}]",471.094,Anod,175.0
Se / NPCP,"[{'Se': '1.0'}, {'N': '1.0', 'P': '2.0', 'C': '1.0'}]",166.937,Cath,351.6
LiNi0.990Ti0.010O2,"[{'Li': '1.0', 'Ni': '0.99', 'Ti': '0.01', 'O': '2.0'}]",97.52274,Cath,175.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,200.0
LiNi0.8Co0.2O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",97.679,Cath,195.0
LiNi0.6Co0.2Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",96.928,Cath,131.9
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,152.0
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",339.70000000000005,Anod,874.0
Na0.67Ni0.33Mn0.67O2,"[{'Na': '0.67', 'Ni': '0.33', 'Mn': '0.67', 'O': '2.0'}]",103.57845000000002,Cath,140.0
MoO3,"[{'Mo': '1.0', 'O': '3.0'}]",143.947,Anod,48.0
LiNi0.7Co0.15Mn0.15O2,"[{'Li': '1.0', 'Ni': '0.7', 'Co': '0.15', 'Mn': '0.15', 'O': '2.0'}]",97.10375,Cath,200.0
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,147.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,135.0
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",169.77,Cath,113.9
LiNi0.4Mn0.4Co0.2O2,"[{'Li': '1.0', 'Ni': '0.4', 'Mn': '0.4', 'Co': '0.2', 'O': '2.0'}]",96.177,Cath,175.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,435.25
NiS2âC,"[{'Ni': '1.0', 'S': '2.0'}]",122.813,Cath,788.0
LFP,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,153.0
FeP / rGO / CNTs-S,"[{'Fe': '1.0', 'P': '1.0'}]",86.819,Cath,613.1
CNT @ Li4Ti5O12 @ C,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'C': '1.0'}]",471.094,Anod,137.1
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,120.0
FeS2 @ S-C,"[{'Fe': '1.0', 'S': '2.0'}]",119.965,Anod,1200.0
Fe2O3âCNT,"[{'Fe': '2.0', 'O': '3.0'}]",159.687,Cath,1500.0
Na0.44Mn0.6Ni0.4O2,"[{'Na': '0.44', 'Mn': '0.6', 'Ni': '0.4', 'O': '2.0'}]",98.5536,Cath,146.1
SnS2 @ rGO,"[{'Sn': '1.0', 'S': '2.0'}]",182.83,Anod,237.0
Co3O4 / graphene,"[{'Co': '3.0', 'O': '4.0'}]",240.795,Anod,800.0
Li2FeSiO4 / C,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",173.817,Cath,130.7
MnVO,"[{'Mn': '1.0', 'V': '1.0', 'O': '1.0'}]",121.8785,Anod,680.0
V2O5 / graphene,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,208.0
Li1.4Ni0.3Mn0.7O2.4,"[{'Li': '1.4', 'Ni': '0.3', 'Mn': '0.7', 'O': '2.4'}]",104.1781,Cath,331.8
MoS2-PEG,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Anod,920.6
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,117.0
SnSe0.5S0.5 / C,"[{'Sn': '1.0', 'Se': '0.5', 'S': '0.5'}, {'C': '1.0'}]",186.2365,Anod,437.0
V2O5,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,427.0
MoO3,"[{'Mo': '1.0', 'O': '3.0'}]",143.947,Anod,1212.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,153.0
Cu6Sn5 @ SnO2âC,"[{'Cu': '6.0', 'Sn': '5.0'}, {'Sn': '1.0', 'O': '2.0'}]",1125.534,Anod,1235.0
Manganese orthosilicate,"[{'Si': '7.0', 'O': '28.0', 'Mn': '4.0'}]",864.319,Cath,330.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,120.0
Metal oxide / sulfide / phosphide,"[{'S': '1.0'}, {'P': '1.0'}]",63.034000000000006,Anod,900.0
SnO2 @ C-M,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,190.0
HPC @ S-PANi,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cath,1372.0
Ge / Cu3Ge,"[{'Ge': '1.0'}, {'Cu': '3.0', 'Ge': '1.0'}]",335.898,Anod,1070.0
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",81.37899999999999,Anod,978.0
SnO2,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,1800.0
Li2NiO2,"[{'Li': '2.0', 'Ni': '1.0', 'O': '2.0'}]",104.571,Cath,337.0
Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",231.531,Anod,402.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,55.0
PbCl2 / Sb4O5Cl,"[{'Pb': '1.0', 'Cl': '2.0'}, {'Sb': '4.0', 'O': '5.0', 'Cl': '1.0'}]",880.5850000000002,Anod,1036.7
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,128.0
SnO2âFe2O3 @ C,"[{'Sn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",162.719,Anod,1300.0
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,123.7
S @ TiO2 / Ti2C,"[{'S': '1.0', 'Ti': '1.0', 'O': '2.0'}, {'Ti': '2.0', 'C': '1.0'}]",219.67,Cath,879.2
FeSe2 / C,"[{'Fe': '1.0', 'Se': '2.0'}, {'C': '1.0'}]",225.798,Anod,438.1
LiTi0.08Fe0.92PO4,"[{'Li': '1.0', 'Ti': '0.08', 'Fe': '0.92', 'P': '1.0', 'O': '4.0'}]",157.11676,Cath,151.0
LiNiO2,"[{'Li': '1.0', 'Ni': '1.0', 'O': '2.0'}]",97.631,Cath,206.0
V2O5âIPA,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,131.0
Li2S / KB / CNT,"[{'Li': '2.0', 'S': '1.0'}, {'K': '1.0', 'B': '1.0'}]",95.848,Cath,600.0
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Anod,1276.7
TiO2-S,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,819.0
Nickel phosphide,"[{'Ni': '1.0', 'P': '1.0'}]",89.667,Anod,1000.0
LiNi0.8Co0.15Al0.05O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.15', 'Al': '0.05', 'O': '2.0'}]",96.08145,Cath,190.0
K2Ti6O13,"[{'K': '2.0', 'Ti': '6.0', 'O': '13.0'}]",573.385,Anod,99.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,140.0
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",96.4535812,Cath,172.0
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,75.0
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Anod,540.0
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,132.2
NiCl2 / NiS2 @ C,"[{'Ni': '1.0', 'Cl': '2.0'}, {'Ni': '1.0', 'S': '2.0', 'C': '1.0'}]",264.41700000000003,Cath,946.08
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,1129.0
TiO2 @ C,"[{'Ti': '1.0', 'O': '2.0'}, {'C': '1.0'}]",91.876,Anod,222.9
Al / LiFePO4,"[{'Al': '1.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",184.737,Cath,102.0
Mg-doped Li2FeSiO4 / C,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",173.817,Cath,190.0
MoV2O8,"[{'Mo': '1.0', 'V': '2.0', 'O': '8.0'}]",325.825,Anod,137.0
FeS2 @ S-C,"[{'Fe': '1.0', 'S': '2.0'}]",119.965,Anod,500.0
Fe(VI),"[{'V': '1.0', 'I': '1.0', 'Fe': '1.0'}]",233.6865,Cath,400.0
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",82.948,Anod,1179.0
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",169.77,Anod,252.5
LiMnBO3,"[{'Li': '1.0', 'Mn': '1.0', 'B': '1.0', 'O': '3.0'}]",120.685,Cath,222.0
Na3V2(PO4)2 @ C,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",372.804,Cath,90.0
CuFe2O4,"[{'Cu': '1.0', 'Fe': '2.0', 'O': '4.0'}]",239.232,Anod,1193.0
MoC / C,"[{'Mo': '1.0', 'C': '1.0'}, {'C': '1.0'}]",119.972,Anod,742.0
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Anod,723.0
NVP @ C,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}, {'C': '1.0'}]",107.9335,Cath,90.0
Li2ZnFe0.05Ti2.95O8,"[{'Li': '2.0', 'Zn': '1.0', 'Fe': '0.05', 'Ti': '2.95', 'O': '8.0'}]",351.2519,Anod,181.9
Fe-doped LiMnPO4,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",156.848,Cath,132.0
NaFePO4,"[{'Na': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",173.805,Cath,131.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,159.3
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095000000000006,Anod,1100.0
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,171.0
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,370.0
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,116.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,170.0
HPC,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",43.993,Cath,1660.0
SnSe0.5S0.5 / C,"[{'Sn': '1.0', 'Se': '0.5', 'S': '0.5'}, {'C': '1.0'}]",186.2365,Anod,625.0
TiN-C / sulfur,"[{'Ti': '1.0', 'N': '1.0'}, {'S': '1.0'}]",93.934,Cath,989.0
LiNi0.8Co0.15Mn0.05O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.15', 'Mn': '0.05', 'O': '2.0'}]",97.47925,Cath,165.2
LiNi1â2xCoxMnxO2,"[{'Li': '1.0', 'Ni': '1.0'}]",65.633,Cath,211.3
LCO,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,150.2
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,115.0
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",339.70000000000005,Anod,334.0
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,115.7
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",109.744,Anod,116.1
LiFe0.5Mn0.5PO4 / C,"[{'Li': '1.0', 'Fe': '0.5', 'Mn': '0.5', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.3125,Cath,66.77
SnSe / C,"[{'Sn': '1.0', 'Se': '1.0'}, {'C': '1.0'}]",209.692,Anod,1097.6
LiV3O8,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",287.7565,Cath,280.0
Ti2Nb10O29,"[{'Ti': '2.0', 'Nb': '10.0', 'O': '29.0'}]",1488.765,Anod,247.0
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,149.7
SnO2 / Sn @ rGO-1,"[{'Sn': '1.0', 'O': '2.0'}]",150.708,Anod,604.09
Li3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",407.613,Cath,197.0
Sn / C,"[{'Sn': '1.0'}, {'C': '1.0'}]",130.721,Anod,1300.0
Mn3O4,"[{'Mn': '3.0', 'O': '4.0'}]",228.81000000000003,Anod,417.0
Fe2F5Â·H2O / rGO,"[{'Fe': '2.0', 'F': '5.0'}]",206.68,Cath,161.3
Carbonate,"[{'C': '1.0', 'O': '3.0'}]",60.008,Anod,617.4
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,235.9
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,85.6
CoO,"[{'Co': '1.0', 'O': '1.0'}]",74.932,Anod,900.0
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.95100000000001,Cath,943.7
CVO,"[{'C': '1.0', 'V': '1.0', 'O': '1.0'}]",78.9515,Anod,699.0
Li1.2Mn0.534Ni0.133Co0.133O2,"[{'Li': '1.2', 'Mn': '0.534', 'Ni': '0.133', 'Co': '0.133', 'O': '2.0'}]",85.30715000000001,Cath,285.8
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Cath,525.0
LiLa0.05Mn1.95O4,"[{'Li': '1.0', 'La': '0.05', 'Mn': '1.95', 'O': '4.0'}]",185.0106,Cath,115.0
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,148.0
NVP,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",95.9225,Cath,234.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,650.0
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,152.3
K2FeO4,"[{'K': '2.0', 'Fe': '1.0', 'O': '4.0'}]",198.037,Cath,375.4
NVP,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",95.9225,Cath,116.6
Te / CFC,"[{'Te': '1.0'}, {'C': '2.0', 'F': '1.0'}]",170.61999999999998,Cath,327.0
Li3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",407.613,Anod,400.0
CeO2,"[{'Ce': '1.0', 'O': '2.0'}]",172.118,Cath,100.64
SnSb-G-C,"[{'Sn': '1.0', 'Sb': '1.0'}]",240.47,Anod,275.14
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,810.0
