Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh
Cu / Sn,"[{'Cu': '1.0'}, {'Sn': '1.0'}]",182.256,Anod,430.0
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Anod,310.0
CoMn2O4,"[{'Co': '1.0', 'Mn': '2.0', 'O': '4.0'}]",232.805,Anod,706.0
SnS,"[{'Sn': '1.0', 'S': '1.0'}]",150.76999999999998,Anod,439.0
MoO3 / C,"[{'Mo': '1.0', 'O': '3.0'}, {'C': '1.0'}]",155.958,Anod,500.0
TiN,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Cath,171.0
LiV3O8,"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",287.7565,Cath,200.0
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",240.795,Anod,890.0
VB2 / Ni,"[{'V': '1.0', 'B': '2.0'}, {'Ni': '1.0'}]",131.2545,Anod,2700.0
LiFeBO3 / C,"[{'Li': '1.0', 'Fe': '1.0', 'B': '1.0', 'O': '3.0'}, {'C': '1.0'}]",133.603,Cath,69.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,586.0
MnO2 / Ni / PVDF,"[{'Mn': '1.0', 'O': '2.0'}, {'Ni': '1.0'}]",145.62900000000002,Anod,913.7
MnO2 @ C @ MnO,"[{'Mn': '1.0', 'O': '2.0'}, {'C': '1.0'}, {'Mn': '1.0', 'O': '1.0'}]",169.884,Anod,709.6
Bi5Nb3O15 @ C,"[{'Bi': '5.0', 'Nb': '3.0', 'O': '15.0'}, {'C': '1.0'}]",1575.614,Anod,613.48
P(S-DVB),"[{'S': '1.0', 'P': '1.0'}]",63.034000000000006,Cath,800.0
FeP @ C / CNTs,"[{'Fe': '1.0', 'P': '1.0', 'C': '1.0'}]",98.83,Anod,489.0
Fe2O3-NA-1.5,"[{'Fe': '2.0', 'O': '3.0'}]",159.687,Anod,350.0
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Cath,453.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,112.0
CTAB-Si,"[{'C': '19.0', 'H': '42.0', 'N': '1.0', 'Br': '1.0'}]",364.456,Anod,1570.0
Fe3S4 / Co9S8,"[{'Fe': '3.0', 'S': '4.0'}, {'Co': '9.0', 'S': '8.0'}]",1082.652,Anod,945.0
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Anod,27.76
Cu / Sn,"[{'Cu': '1.0'}, {'Sn': '1.0'}]",182.256,Anod,851.0
