Compound_name,Extracted_name,Type,Molecular_weight,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Fe2O3 / MnO2,"[{'Fe': '2.0', 'O': '3.0'}, {'Mn': '1.0', 'O': '2.0'}]",Anode,0.003952188947383339,0.07352089633176775,0.42727706344906335,0.829580883386069
ZnCo2O4 @ CNTs,"[{'Zn': '1.0', 'Co': '2.0', 'O': '4.0'}]",Anode,0.003962179738911139,0.1592294046820283,0.037328094302554016,0.829580883386069
TiO2 / Ti3C2,"[{'Ti': '1.0', 'O': '2.0'}, {'Ti': '3.0', 'C': '2.0'}]",Anode,0.003966150231182283,0.06432963538267815,0.42727706344906335,0.829580883386069
RGO / WS2-S,"[{'W': '1.0', 'S': '2.0'}]",Cathode,0.003973768411474887,0.18910100276656955,0.42727706344906335,1.0
Cu2Sb,"[{'Cu': '2.0', 'Sb': '1.0'}]",Anode,0.003988165481010908,0.07421024090294948,0.2023575638506876,0.829580883386069
CuSbS2,"[{'Cu': '1.0', 'Sb': '1.0', 'S': '2.0'}]",Anode,0.003997429962976912,0.23092124008492723,0.42727706344906335,0.829580883386069
ReS2 / CNTs,"[{'Re': '1.0', 'S': '2.0'}]",Anode,0.004012020715062746,0.15141683287530217,0.42727706344906335,0.829580883386069
SnSb / C,"[{'Sn': '1.0', 'Sb': '1.0'}, {'C': '1.0'}]",Anode,0.004046738312116536,0.12407283155176058,0.42727706344906335,0.829580883386069
Co3O4âFe2O3 / C,"[{'Co': '3.0', 'O': '4.0'}, {'C': '1.0'}]",Anode,0.004051983881173943,0.05054274395904374,0.42727706344906335,0.5798277293690414
ZnFe2O4 @ C,"[{'Zn': '1.0', 'Fe': '2.0', 'O': '4.0'}, {'C': '1.0'}]",Anode,0.0040563578787571955,0.3906193990753591,0.42727706344906335,0.829580883386069
MoSe2 / rGO,"[{'Mo': '1.0', 'Se': '2.0'}]",Anode,0.004069512151931924,0.09695861175194624,0.42727706344906335,0.829580883386069
LiCoO2 / LiFePO4,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",Cathode,0.004097499280379749,0.0629509462403147,0.42727706344906335,0.829580883386069
Zn3P2,"[{'Zn': '3.0', 'P': '2.0'}]",Anode,0.004137236483516166,0.252750484839015,0.42727706344906335,0.829580883386069
PTh,"[{'P': '1.0', 'Th': '1.0'}]",Cathode,0.004216743170213969,0.011479884925412917,0.42727706344906335,0.829580883386069
Li2MnSnO4 / C,"[{'Li': '2.0', 'Mn': '1.0', 'Sn': '1.0', 'O': '4.0'}, {'C': '1.0'}]",Anode,0.004225152220918304,0.21138981056811182,0.6836935166994105,0.829580883386069
