Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Sb2O3 / rGO,"[{'Sb': '2.0', 'O': '3.0'}]",-0.032482111120850775,Anode,-0.4241387083114515,0.4069406341309466,0.6505110565751259
Na2Fe(SO4)2,"[{'S': '2.0', 'O': '8.0', 'Na': '2.0', 'Fe': '1.0'}]",-0.0315798435279149,Cathode,-0.8198506749254777,1.4173951525692137,0.353956388773007
Cu / Fe3O4,"[{'Cu': '1.0'}, {'Fe': '3.0', 'O': '4.0'}]",-0.031154808380829416,Anode,-0.595360232327136,-0.05235687425008381,-1.8123119654490205
Fe3O4 / Cu,"[{'Fe': '3.0', 'O': '4.0'}, {'Cu': '1.0'}]",-0.031154808380829416,Anode,-0.01358754294939924,-0.05235687425008381,-1.8123119654490205
Fe3S4,"[{'Fe': '3.0', 'S': '4.0'}]",-0.03089456756270164,Anode,0.2287860366016919,-0.05235687425008381,0.353956388773007
Li3VO4 / MoS2,"[{'Li': '3.0', 'V': '1.0', 'O': '4.0'}, {'Mo': '1.0', 'S': '2.0'}]",-0.030874993575664804,Anode,0.5103503205385952,-0.05235687425008381,0.353956388773007
Nb2O5 / S,"[{'Nb': '2.0', 'O': '5.0'}, {'S': '1.0'}]",-0.030114590784014916,Cathode,1.4764202082626456,-0.05235687425008381,0.353956388773007
SnFe3C,"[{'Sn': '1.0', 'Fe': '3.0', 'C': '1.0'}]",-0.029969556861018196,Anode,-0.7856063701223409,-0.05235687425008381,0.353956388773007
Fe3O4 / Fe / C,"[{'Fe': '3.0', 'O': '4.0'}, {'Fe': '1.0'}, {'C': '1.0'}]",-0.029547877254567596,Cathode,6.633993003890652,0.2232216307785343,0.353956388773007
SnSbCo,"[{'Sn': '1.0', 'Sb': '1.0', 'Co': '1.0'}]",-0.029541911848994462,Anode,-0.8502900569727105,-0.05235687425008381,0.353956388773007
Co / Co3O4,"[{'Co': '1.0'}, {'Co': '3.0', 'O': '4.0'}]",-0.02942073954829027,Anode,0.9266088700345035,-0.05235687425008381,0.353956388773007
Fe3O4 / Ni / C,"[{'Fe': '3.0', 'O': '4.0'}, {'Ni': '1.0'}, {'C': '1.0'}]",-0.028486035062550503,Anode,-0.1920384202013015,-0.05235687425008381,0.353956388773007
SeS7 / CNT,"[{'Se': '1.0', 'S': '7.0'}]",-0.028055034509891878,Cathode,0.7040208888141137,-0.05235687425008381,0.353956388773007
Ti4O7 / MCO,"[{'Ti': '4.0', 'O': '7.0'}]",-0.02802893586050944,Cathode,3.7803009369625773,0.13136212910232853,0.353956388773007
Co3O4âNi @ Cu,"[{'Co': '3.0', 'O': '4.0'}, {'Cu': '1.0'}]",-0.027700838553987306,Anode,0.18464893263320428,-0.05235687425008381,-1.3641185128513598
Co3O4 @ Cu,"[{'Co': '3.0', 'O': '4.0'}, {'Cu': '1.0'}]",-0.027700838553987306,Anode,-0.595360232327136,-0.05235687425008381,-1.3641185128513598
Mn2SnO4 @ C,"[{'Mn': '2.0', 'Sn': '1.0', 'O': '4.0'}, {'C': '1.0'}]",-0.02760688341621051,Anode,0.715435657081826,-0.05235687425008381,0.353956388773007
NiCo2S4âNi,"[{'Ni': '1.0', 'Co': '2.0', 'S': '4.0'}]",-0.02753007881945648,Anode,1.6267146571208577,-0.05235687425008381,0.353956388773007
NiCo2S4,"[{'Ni': '1.0', 'Co': '2.0', 'S': '4.0'}]",-0.02753007881945648,Anode,0.9798777886171609,-0.05235687425008381,0.353956388773007
NiCo2S4 @ CâSeS2,"[{'Ni': '1.0', 'Co': '2.0', 'S': '4.0'}]",-0.02753007881945648,Cathode,0.3151577831607149,-0.05235687425008381,0.353956388773007
NiCo2S4 @ GS-1,"[{'Ni': '1.0', 'Co': '2.0', 'S': '4.0'}]",-0.02753007881945648,Anode,-0.6581414577995536,-0.05235687425008381,0.353956388773007
Co3S4,"[{'Co': '3.0', 'S': '4.0'}]",-0.02744059773585953,Cathode,-0.42813387720515084,-1.2649022963760042,0.353956388773007
BiVO3,"[{'Bi': '1.0', 'V': '1.0', 'O': '3.0'}]",-0.02636701115162034,Cathode,-0.5002371634295335,-0.05235687425008381,0.353956388773007
TiO2 / Mn3O4 / Ti3C2Tx,"[{'Ti': '1.0', 'O': '2.0'}, {'Mn': '3.0', 'O': '4.0'}]",-0.026084959319365796,Anode,-0.7692452022719531,-0.05235687425008381,0.7797401687407851
RGO / TiO2 / Mn3O4 / Ti3C2Tx,"[{'Ti': '1.0', 'O': '2.0'}, {'Mn': '3.0', 'O': '4.0'}]",-0.026084959319365796,Anode,-0.405114094531931,-0.05235687425008381,0.7797401687407851
Na2MnFe(CN)6,"[{'C': '6.0', 'N': '6.0', 'Na': '2.0', 'Mn': '1.0', 'Fe': '1.0'}]",-0.024520531707812536,Cathode,-0.7475571425632999,-0.05235687425008381,0.353956388773007
PtCo2 / carbon,"[{'Pt': '1.0', 'Co': '2.0'}]",-0.024492568869188474,Cathode,3.9286929244428372,-0.05235687425008381,0.353956388773007
Zn2SnO4,"[{'Zn': '2.0', 'Sn': '1.0', 'O': '4.0'}]",-0.024298693188061788,Anode,-0.12354981059502772,-0.05235687425008381,0.5033542063055606
BiCl3,"[{'Bi': '1.0', 'Cl': '3.0'}]",-0.023603723438792162,Cathode,-0.703990777008198,-0.05235687425008381,0.353956388773007
Na2Ni[Fe(CN)6],"[{'C': '6.0', 'N': '6.0', 'Fe': '1.0', 'Na': '2.0', 'Ni': '1.0'}]",-0.02312052558736866,Cathode,-0.8731195935081352,-0.7229312364863882,0.353956388773007
CuFe2O4 / CuO / R-GO,"[{'Cu': '1.0', 'Fe': '2.0', 'O': '4.0'}, {'Cu': '1.0', 'O': '1.0'}]",-0.022318551375631008,Anode,0.39391968420792967,-0.05235687425008381,0.353956388773007
TiO2 / Co3O4,"[{'Ti': '1.0', 'O': '2.0'}, {'Co': '3.0', 'O': '4.0'}]",-0.02161649770724331,Anode,-0.41462640142169127,0.8662381425119771,0.353956388773007
(Cu0.30Co0.7)Co2O4 / CuO,"[{'Cu': '0.3', 'Co': '2.7', 'O': '4.0'}, {'Cu': '1.0', 'O': '1.0'}]",-0.021219835520415,Anode,-0.8617048252404228,-0.05235687425008381,0.353956388773007
Na2Mn3O7,"[{'Na': '2.0', 'Mn': '3.0', 'O': '7.0'}]",-0.020823471603865377,Cathode,-0.559213466146047,-0.05235687425008381,0.353956388773007
BiVO4,"[{'Bi': '1.0', 'V': '1.0', 'O': '4.0'}]",-0.020401978416338937,Cathode,-0.5002371634295335,2.2441306676550683,-1.6629141479164669
MoV2O8,"[{'Mo': '1.0', 'V': '2.0', 'O': '8.0'}]",-0.01969079022066739,Anode,-0.715215299138115,-0.05235687425008381,0.353956388773007
NiCo2O4 @ MnO2,"[{'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}, {'Mn': '1.0', 'O': '2.0'}]",-0.019069642365365257,Cathode,3.536785880584715,-0.7964188378273532,0.8021498413706679
(NH4)2V3O8 / C,"[{'N': '2.0', 'H': '8.0', 'V': '3.0', 'O': '8.0'}, {'C': '1.0'}]",-0.018542263228915747,Cathode,-0.7190202218940192,-0.05235687425008381,0.353956388773007
Ge / Cu3Ge,"[{'Ge': '1.0'}, {'Cu': '3.0', 'Ge': '1.0'}]",-0.0159351945745339,Anode,1.1168550078297084,-0.05235687425008381,0.353956388773007
Cu3Ge / Ge,"[{'Cu': '3.0', 'Ge': '1.0'}, {'Ge': '1.0'}]",-0.0159351945745339,Anode,0.5270919806645732,-0.05235687425008381,0.353956388773007
Ag / Fe3O4âMoS2,"[{'Ag': '1.0'}, {'Fe': '3.0', 'O': '4.0'}]",-0.01462914359186684,Anode,1.678081114325563,-0.05235687425008381,0.353956388773007
Fe3O4 / Ag,"[{'Fe': '3.0', 'O': '4.0'}, {'Ag': '1.0'}]",-0.014629143591866817,Anode,0.24172277397176575,-0.05235687425008381,0.353956388773007
NiV3O8,"[{'Ni': '1.0', 'V': '3.0', 'O': '8.0'}]",-0.014588690685324035,Cathode,-0.4306070769964884,1.9685521626264504,0.353956388773007
Sb2S3,"[{'Sb': '2.0', 'S': '3.0'}]",-0.014517665075218943,Anode,-0.15589165402021254,-1.1914146950350393,-0.6918283339548684
Germanium phosphide,"[{'Ge': '3.0', 'P': '4.0'}]",-0.013739925323622173,Anode,0.9893900955069211,-0.05235687425008381,-0.09423706382465387
Cu2SnS3,"[{'Cu': '2.0', 'Sn': '1.0', 'S': '3.0'}]",-0.013666849105351323,Anode,0.21318585330248502,-0.05235687425008381,0.353956388773007
MoO2 / Mo2C / C,"[{'Mo': '1.0', 'O': '2.0'}, {'Mo': '2.0', 'C': '1.0'}, {'C': '1.0'}]",-0.012962931247722005,Anode,0.14279478231825918,-0.05235687425008381,0.6527520238381143
Li2NiTi3O8,"[{'Li': '2.0', 'Ni': '1.0', 'Ti': '3.0', 'O': '8.0'}]",-0.012852571244619129,Anode,-0.5725306957917113,-0.05235687425008381,0.353956388773007
TiNb2O7,"[{'Ti': '1.0', 'Nb': '2.0', 'O': '7.0'}]",-0.012291077445048284,Anode,-0.6581414577995536,-0.05235687425008381,0.353956388773007
Pd @ NiCo2O4,"[{'Pd': '1.0'}, {'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",-0.011805269728686533,Cathode,0.9266088700345035,-0.05235687425008381,0.353956388773007
Na3Â·32Fe2Â·34(P2O7)2 sodium,"[{'P': '4.0', 'O': '14.0'}]",-0.011467105800259749,Cathode,-0.7856063701223409,-0.05235687425008381,0.353956388773007
Li2Zn0.6Cu0.4Ti3O8,"[{'Li': '2.0', 'Zn': '0.6', 'Cu': '0.4', 'Ti': '3.0', 'O': '8.0'}]",-0.01063291839842723,Anode,-0.6686049953782899,-0.05235687425008381,0.353956388773007
Li2ZnTi3O8,"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",-0.010359404552899224,Anode,-0.5687257730358073,-0.4106089307872875,0.353956388773007
MoTe2,"[{'Mo': '1.0', 'Te': '2.0'}]",-0.010248671711948015,Anode,-0.36706486697289004,-0.05235687425008381,0.7274509326043911
Li2ZnFe0.05Ti2.95O8,"[{'Li': '2.0', 'Zn': '1.0', 'Fe': '0.05', 'Ti': '2.95', 'O': '8.0'}]",-0.010210679535204145,Anode,-0.663278103520024,-0.05235687425008381,0.353956388773007
Cu5SiâSi / C,"[{'Cu': '5.0', 'Si': '1.0'}, {'C': '1.0'}]",-0.007759606236559625,Anode,0.18845385538910836,-0.05235687425008381,0.353956388773007
Fe2O3 / MgFe2O4,"[{'Fe': '2.0', 'O': '3.0'}, {'Mg': '1.0', 'Fe': '2.0', 'O': '4.0'}]",-0.00706911054146987,Anode,0.47001813932601166,-0.05235687425008381,0.353956388773007
CdWO4,"[{'Cd': '1.0', 'W': '1.0', 'O': '4.0'}]",-0.006857338643623771,Anode,3.407608753021771,-0.05235687425008381,0.353956388773007
P4Se3,"[{'P': '4.0', 'Se': '3.0'}]",-0.006647430935019252,Anode,-0.05125627823284984,-0.05235687425008381,0.353956388773007
ZnSe-NC @ CoSe2-NC,"[{'Zn': '1.0', 'Se': '1.0'}, {'Co': '1.0', 'Se': '2.0'}]",-0.006491957552269569,Anode,0.36956817857014357,-0.30956347894346087,0.353956388773007
LiMn2O4 @ V2O5,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}, {'V': '2.0', 'O': '5.0'}]",-0.005946122942328201,Cathode,-0.7696256945475437,-0.05235687425008381,0.353956388773007
Ag / Ag0.68V2O5,"[{'Ag': '1.0'}, {'Ag': '0.68', 'V': '2.0', 'O': '5.0'}]",-0.005793408559656076,Cathode,-0.29096641185480804,-0.05235687425008381,0.353956388773007
CTAB-Si,"[{'C': '19.0', 'H': '42.0', 'N': '1.0', 'Br': '1.0'}]",-0.005287691302194001,Anode,2.0110118554671716,-0.05235687425008381,0.353956388773007
K2V3O8 / C,"[{'K': '2.0', 'V': '3.0', 'O': '8.0'}, {'C': '1.0'}]",-0.0028390787333484146,Cathode,-0.8331679045711421,-0.05235687425008381,0.353956388773007
NaV2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'Na': '1.0', 'V': '2.0', 'F': '3.0'}]",-0.0025469602791892178,Cathode,-0.791313754256197,1.4633249034073166,0.353956388773007
Na3V2(PO4)2 @ C,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",-0.0021752409444135883,Cathode,-0.8046309839018614,0.13136212910232853,0.353956388773007
RuO2 @ NiCo2O4,"[{'Ru': '1.0', 'O': '2.0'}, {'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",-0.0018698867466390259,Cathode,1.7256426487743641,-1.3255295674823004,0.353956388773007
Na4NiTeO6,"[{'Na': '4.0', 'Ni': '1.0', 'Te': '1.0', 'O': '6.0'}]",-0.001637235929286937,Cathode,-0.9098370981026097,2.2441306676550683,0.353956388773007
Sn2BPO6,"[{'Sn': '2.0', 'B': '1.0', 'P': '1.0', 'O': '6.0'}]",-0.0012826671355340527,Anode,0.007720024483663689,-0.05235687425008381,0.353956388773007
CTAB-LVP / C,"[{'C': '19.0', 'H': '42.0', 'N': '1.0', 'Br': '1.0'}, {'C': '1.0'}]",-0.0008095359060151999,Cathode,-0.7422302507050341,-0.05235687425008381,0.353956388773007
NH4V4O10,"[{'N': '1.0', 'H': '4.0', 'V': '4.0', 'O': '10.0'}]",0.001176944149837007,Cathode,-0.6676537646893138,-0.05235687425008381,0.353956388773007
MoSe2 / MoO2,"[{'Mo': '1.0', 'Se': '2.0'}, {'Mo': '1.0', 'O': '2.0'}]",0.001193721853011419,Cathode,1.219587922239119,-0.05235687425008381,0.353956388773007
LiTi2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '1.0', 'Ti': '2.0'}]",0.0033353024537649974,Anode,-0.8160457521695736,-1.2924601468788661,0.353956388773007
Graphene oxide / SnO2 / Co3O4,"[{'Sn': '1.0', 'O': '2.0'}, {'Co': '3.0', 'O': '4.0'}]",0.00479645398133345,Anode,-0.3855187423390249,-0.05235687425008381,0.353956388773007
Fe3O4 @ MoS2-GP,"[{'Fe': '3.0', 'O': '4.0'}, {'Mo': '1.0', 'S': '2.0'}]",0.004832992090468875,Anode,-0.08550058303598673,-0.05235687425008381,0.353956388773007
LiTi2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '1.0', 'Ti': '2.0'}, {'C': '1.0'}]",0.00781345784994382,Anode,-0.7993040920435956,-0.05235687425008381,0.353956388773007
MoS2 / Co3O4,"[{'Mo': '1.0', 'S': '2.0'}, {'Co': '3.0', 'O': '4.0'}]",0.008286961917310983,Anode,1.5934215830066967,0.8662381425119771,0.353956388773007
NaTi2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",0.009319349919310747,Anode,-0.7351911436066115,-0.5116543826311143,0.353956388773007
NaTi2(PO4)3 / graphite,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",0.009319349919310747,Anode,-0.8388752887049983,-0.5116543826311143,0.353956388773007
NaTi2 (PO4)3,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",0.009319349919310747,Cathode,-0.6843954248152918,-0.5116543826311143,0.353956388773007
PtAu / C,"[{'Pt': '1.0', 'Au': '1.0'}, {'C': '1.0'}]",0.009478551680543634,Cathode,-0.02462181894152115,-0.05235687425008381,0.353956388773007
Nickel titanate,"[{'Ti': '3.0', 'O': '9.0', 'Ni': '2.0'}]",0.009820443987453641,Anode,-0.14828180850840436,-0.05235687425008381,0.353956388773007
Ni3V2O8 @ CMK-3,"[{'Ni': '3.0', 'V': '2.0', 'O': '8.0'}]",0.010184333727414554,Anode,-0.7850356317089552,-0.05235687425008381,0.353956388773007
Co3V2O8,"[{'Co': '3.0', 'V': '2.0', 'O': '8.0'}]",0.01045277697820538,Anode,1.1358796216092288,-0.05235687425008381,-1.528456112137169
Li3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",0.010802871717778438,Cathode,-0.7686744638585676,0.8662381425119771,0.353956388773007
Li3V2(PO4)3 / rGO,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",0.010802871717778438,Cathode,-0.8027285225239094,0.8662381425119771,0.353956388773007
Li3V2(PO4)3 / C-20,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",0.010802871717778438,Anode,-0.30999102563432857,0.8662381425119771,0.353956388773007
Sn2P2O7,"[{'Sn': '2.0', 'P': '2.0', 'O': '7.0'}]",0.01220026797328407,Anode,0.5080673668850526,-0.05235687425008381,0.353956388773007
Na3V2O2(PO4)2F,"[{'P': '2.0', 'O': '10.0', 'Na': '3.0', 'V': '2.0', 'F': '1.0'}]",0.012359842572365288,Cathode,-0.7703866790987245,-0.05235687425008381,0.353956388773007
Ni3Sn2 / CNT,"[{'Ni': '3.0', 'Sn': '2.0'}]",0.012997395292993541,Anode,1.1187574692076605,-0.05235687425008381,0.353956388773007
Na3V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0', 'F': '3.0'}]",0.014596123986592267,Cathode,-0.7665817563428203,-0.40142298061966686,0.6901014782212527
Na3V2(PO4)2F3-SWCNT,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0', 'F': '3.0'}]",0.014596123986592267,Cathode,-0.753264526697156,-0.40142298061966686,0.6901014782212527
