Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
MnO / N-PCNTs,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.16060809382439176,0.19253438113948915,0.7198851529126943
MnO / CNT,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.12637064678903298,0.19253438113948915,0.7198851529126943
MnO / NâC,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.13785972297539498,0.19253438113948915,0.7198851529126943
MnO-PS,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.24126140865265305,0.19253438113948915,0.7198851529126943
MnO / C nano-peapod,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.12062610869585198,0.19253438113948915,0.7198851529126943
MnO @ rGO,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.23197823509407256,0.19253438113948915,0.7198851529126943
Co @ C,"[{'Co': '1.0'}, {'C': '1.0'}]",0.0011166925583489882,Anode,0.05330012224377062,0.3889980353634577,0.9399753899098631
Mn0.9Co0.1O / CNT,"[{'Mn': '0.9', 'Co': '0.1', 'O': '1.0'}]",0.001123027591749087,Anode,0.11488157060267097,0.3889980353634577,0.9849938474774658
SiO2 / C / CNTs,"[{'Si': '1.0', 'O': '2.0'}, {'C': '1.0'}]",0.0011352538027059658,Anode,0.08880136765962922,0.3889980353634577,0.9399753899098631
SiO2 / C,"[{'Si': '1.0', 'O': '2.0'}, {'C': '1.0'}]",0.0011352538027059658,Anode,0.20679418009356704,0.3889980353634577,0.9399753899098631
VB2,"[{'V': '1.0', 'B': '2.0'}]",0.0011427993520423895,Anode,0.9329037950716458,0.3889980353634577,0.8199261697295892
Si / CNF,"[{'Si': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0011515069966776847,Anode,0.4595538561935311,0.3889980353634577,0.9399753899098631
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",0.0011771860747402513,Anode,0.2800944861625566,0.742632612966601,1.0
GNS / NiO,"[{'Ni': '1.0', 'O': '1.0'}]",0.0011771860747402513,Anode,0.10339249441630897,0.742632612966601,1.0
NiO-Ni,"[{'Ni': '1.0', 'O': '1.0'}]",0.0011771860747402513,Anode,0.224946920468019,0.742632612966601,1.0
NiOâMnCo2O4,"[{'Ni': '1.0', 'O': '1.0'}]",0.0011771860747402513,Anode,0.20334745723765843,0.742632612966601,1.0
CoO,"[{'Co': '1.0', 'O': '1.0'}]",0.0011810597257364904,Anode,0.1642845982040276,0.11787819253438112,0.7378925359397353
CoO @ CâNi,"[{'Co': '1.0', 'O': '1.0'}]",0.0011810597257364904,Anode,0.17416520372429892,0.11787819253438112,0.7378925359397353
CoO-N,"[{'Co': '1.0', 'O': '1.0'}]",0.0011810597257364904,Cathode,0.10109467917903657,0.11787819253438112,0.7378925359397353
CoO / rGO,"[{'Co': '1.0', 'O': '1.0'}]",0.0011810597257364904,Cathode,0.22977233246629103,0.11787819253438112,0.7378925359397353
CoO-A,"[{'Co': '1.0', 'O': '1.0'}]",0.0011810597257364904,Cathode,0.3207658158622781,0.11787819253438112,0.7378925359397353
CoO / graphene,"[{'Co': '1.0', 'O': '1.0'}]",0.0011810597257364904,Anode,0.13877884907030394,0.11787819253438112,0.7378925359397353
Glycine,"[{'N': '1.0', 'H': '5.0', 'C': '2.0', 'O': '2.0'}]",0.0011832386544218748,Cathode,0.027564591586319725,0.3889980353634577,0.9399753899098631
Ni0.8Co0.1Mn0.1O1.1,"[{'Ni': '0.8', 'Co': '0.1', 'Mn': '0.1', 'O': '1.1'}]",0.0011973355160056873,Anode,0.172326951534481,0.3889980353634577,0.9399753899098631
PNP @ CNTs,"[{'P': '2.0', 'N': '1.0'}]",0.0011975711631079583,Anode,0.028713499204955924,0.5854616895874263,1.0
PCNF,"[{'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0011981360705449098,Anode,0.046360720227207976,0.3889980353634577,0.4397703058253884
S / HPC,"[{'S': '1.0'}, {'H': '1.0', 'P': '1.0', 'C': '1.0'}]",0.0011991529039314225,Cathode,0.31639996691146055,0.3889980353634577,1.0
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",0.0012095149203463613,Anode,0.20472614638002187,0.5854616895874263,0.6198441360957994
CVO,"[{'C': '1.0', 'V': '1.0', 'O': '1.0'}]",0.0012459353098172488,Anode,0.2391933749391079,0.3889980353634577,0.9399753899098631
LiC6,"[{'Li': '1.0', 'C': '6.0'}]",0.0012468149513976446,Anode,0.04594711348449894,0.2907662082514734,0.7498974579577627
C6Li,"[{'C': '6.0', 'Li': '1.0'}]",0.0012468149513976446,Anode,0.09190341822994696,0.2907662082514734,0.7498974579577627
LFS / FSO / C,"[{'F': '1.0', 'S': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.001247815644571673,Cathode,0.016994641494866677,0.3889980353634577,0.9399753899098631
CuO-CF,"[{'Cu': '1.0', 'O': '1.0'}]",0.0012555145259266977,Anode,0.034963556650336854,0.27111984282907653,0.9899958983183106
CuO,"[{'Cu': '1.0', 'O': '1.0'}]",0.0012555145259266977,Anode,0.07122308109449535,0.27111984282907653,0.9899958983183106
CuO @ CMK-8,"[{'Cu': '1.0', 'O': '1.0'}]",0.0012555145259266977,Anode,0.3228338495758233,0.27111984282907653,0.9899958983183106
P-CuFe2O4 / CuO,"[{'Cu': '1.0', 'O': '1.0'}]",0.0012555145259266977,Anode,0.33239276096287645,0.27111984282907653,0.9899958983183106
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.027334810062592484,0.07072691552062868,0.9699876949549315
TiO2-B,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.04640667653195342,0.07072691552062868,0.9699876949549315
TiO2âB,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.023198742635502163,0.07072691552062868,0.9699876949549315
TiO2âSe,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Cathode,0.03629628948795485,0.07072691552062868,0.9699876949549315
Nb-doped TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.040662138438772415,0.07072691552062868,0.9699876949549315
TiO2 @ Co-CNT-NC,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.05238099614886166,0.07072691552062868,0.9699876949549315
TiO2-S,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Cathode,0.21598544104265663,0.07072691552062868,0.9699876949549315
TiO2 / C-500,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.04663645805568066,0.07072691552062868,0.9699876949549315
Li2S6-based FâTiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Cathode,0.1447531686872122,0.07072691552062868,0.9699876949549315
TiO2 / CNT,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.11947720107721578,0.07072691552062868,0.9699876949549315
Titanium oxide,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.07581871156904016,0.07072691552062868,0.9699876949549315
Boron-doped TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.03834134504912729,0.07072691552062868,0.9699876949549315
TiO2 / graphene,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.06088291252676955,0.07072691552062868,0.9699876949549315
TiO2 / GA-2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Cathode,0.1270599913602147,0.07072691552062868,0.9699876949549315
TiO2 @ TIN,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.005505565308504673,0.07072691552062868,0.9699876949549315
CNT / TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.03905366777268173,0.07072691552062868,0.9699876949549315
Li1.27Cr0.2Mn0.53O2,"[{'Li': '1.27', 'Cr': '0.2', 'Mn': '0.53', 'O': '2.0'}]",0.0012681545719316748,Cathode,0.06432963538267815,0.3889980353634577,0.9399753899098631
Zn0.91Co0.09O,"[{'Zn': '0.91', 'Co': '0.09', 'O': '1.0'}]",0.0012757506401331743,Anode,0.22977233246629103,0.3889980353634577,0.9399753899098631
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",0.001285115675622956,Anode,0.34558222042482,0.3176817288801571,0.6998769495493152
ZnO / 3DOM-mC,"[{'Zn': '1.0', 'O': '1.0'}]",0.001285115675622956,Anode,0.15665585161628323,0.3176817288801571,0.6998769495493152
ZnO / graphene / CNT,"[{'Zn': '1.0', 'O': '1.0'}]",0.001285115675622956,Anode,0.3453524389010928,0.3176817288801571,0.6998769495493152
S-TCS / ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",0.001285115675622956,Cathode,0.18726275057675162,0.3176817288801571,0.6998769495493152
ZnOâG-10,"[{'Zn': '1.0', 'O': '1.0'}]",0.001285115675622956,Anode,0.09535014108585556,0.3176817288801571,0.6998769495493152
ZnO @ GN-1,"[{'Zn': '1.0', 'O': '1.0'}]",0.001285115675622956,Anode,0.195305103907205,0.3176817288801571,0.6998769495493152
VO2,"[{'V': '1.0', 'O': '2.0'}]",0.001310302477204751,Anode,0.05398946681495234,0.055009823182711186,0.34973339069018294
VO2 / CNTs,"[{'V': '1.0', 'O': '2.0'}]",0.001310302477204751,Anode,0.12352135589481521,0.055009823182711186,0.34973339069018294
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0013104396690108676,Anode,0.17830127115138925,0.0943025540275049,0.6918736682039637
MnO @ C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0013104396690108676,Anode,0.2141471888528387,0.0943025540275049,0.6918736682039637
