Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
LiCr0.33V0.33Mn0.33O2,"[{'Li': '1.0', 'Cr': '0.33', 'V': '0.33', 'Mn': '0.33', 'O': '2.0'}]",0.0014409964758785399,Cathode,0.04824492872177134,0.4872298624754419,0.8999589831831051,0.04999095229478376
SiVC-2,"[{'Si': '1.0', 'V': '1.0', 'C': '1.0'}]",0.0014410059179028433,Anode,0.20702396161729428,0.4872298624754419,0.8999589831831051,0.21451632872694024
NiOOH,"[{'Ni': '1.0', 'O': '2.0', 'H': '1.0'}]",0.0014516826684612266,Cathode,0.06318072776404195,0.2220039292730844,0.8999589831831051,0.03010981056962447
TiO2 / C,"[{'Ti': '1.0', 'O': '2.0'}, {'C': '1.0'}]",0.001454539486070953,Anode,0.047555584150589615,0.4872298624754419,0.8419351934293061,0.049276659777712166
Orthosilicate,"[{'Si': '1.0', 'O': '4.0'}]",0.0014578482296302403,Cathode,0.0032077500712322723,0.4872298624754419,0.8999589831831051,0.0033238411794398043
Ni(OH)2,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",0.0014679520026454297,Cathode,0.06639766909622331,0.01571709233791748,0.8999589831831051,0.013228697416165868
Li2Se,"[{'Li': '2.0', 'Se': '1.0'}]",0.0014702761932431732,Cathode,0.022968961111774922,0.4675834970530451,0.8999589831831051,0.022847836646063293
MnF2,"[{'Mn': '1.0', 'F': '2.0'}]",0.0014716158308793724,Anode,0.12407283155176058,0.4872298624754419,1.0,0.12856312917265877
Co(OH)2,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",0.0014718256536416687,Anode,0.1585400601108466,0.4872298624754419,0.8999589831831051,0.002085734149849046
LiAl0.15Co0.85O2,"[{'Li': '1.0', 'Al': '0.15', 'Co': '0.85', 'O': '2.0'}]",0.0014739456705514852,Cathode,0.036755852535409334,0.4872298624754419,0.8999589831831051,0.03808607701025724
ZnO / C,"[{'Zn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0014789757677722262,Anode,0.149348799161757,0.4872298624754419,0.8999589831831051,0.1547538547986171
LiMn0.95Cr0.05O2,"[{'Li': '1.0', 'Mn': '0.95', 'Cr': '0.05', 'O': '2.0'}]",0.001484445685783165,Cathode,0.03905366777268173,0.4872298624754419,0.8999589831831051,0.04046705206716254
