Name,Extracted_name,Value,Raw_unit,Type
RuO2 @ m-BCN,"[{'Ru': '1.0', 'O': '2.0'}, {'B': '1.0', 'C': '1.0', 'N': '1.0'}]",4.2,V,Cath
SnSb,"[{'Sn': '1.0', 'Sb': '1.0'}]",2,V,Anod
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.35,V,Cath
CoSe2,"[{'Co': '1.0', 'Se': '2.0'}]",3,V,Anod
CoCr2O4,"[{'Co': '1.0', 'Cr': '2.0', 'O': '4.0'}]",1.2,V,Anod
GeP5 / C,"[{'Ge': '1.0', 'P': '5.0'}, {'C': '1.0'}]",0.7,V,Anod
K3V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'K': '3.0', 'V': '2.0', 'F': '3.0'}]",3.75,V,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",4.1,V,Cath
SeS2,"[{'Se': '1.0', 'S': '2.0'}]",0.5,V,Cath
AgCu-MG,"[{'Ag': '1.0', 'Cu': '1.0'}]",0.9,V,Cath
LiMnPO4,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",4.1,Vvs.Li+,Cath
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",3,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",0.5,V,Cath
CaMnO3,"[{'Ca': '1.0', 'Mn': '1.0', 'O': '3.0'}]",0.2,V,Cath
VO2(B) / Mo,"[{'B': '1.0', 'V': '1.0', 'O': '2.0'}, {'Mo': '1.0'}]",2.4,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",3,V,Cath
Li2Na2Ti6O14,"[{'Li': '2.0', 'Na': '2.0', 'Ti': '6.0', 'O': '14.0'}]",1.36,V,Anod
LiCo0.33Mn0.33Ni0.33O2,"[{'Li': '1.0', 'Co': '0.33', 'Mn': '0.33', 'Ni': '0.33', 'O': '2.0'}]",4.5,V,Cath
Mo6S8,"[{'Mo': '6.0', 'S': '8.0'}]",1.1,V,Cath
LixCoO2,"[{'Li': 'x', 'Co': '1.0', 'O': '2.0'}]",4,Vvs.Li,Cath
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",1.5,VvsLi,Anod
SnS,"[{'Sn': '1.0', 'S': '1.0'}]",1.15,V,Anod
NaTi2(PO4)3 @ CNT,"[{'P': '3.0', 'O': '12.0', 'Na': '1.0', 'Ti': '2.0'}]",1.5,Vvs.Na,Anod
LiMn1.5Ni0.5O4,"[{'Li': '1.0', 'Mn': '1.5', 'Ni': '0.5', 'O': '4.0'}]",4.5,V,Cath
Copper oxide / sulphate,"[{'Cu': '2.0', 'O': '3.0'}, {'S': '1.0', 'O': '4.0'}]",0.1,V,Cath
Li1.05Ni1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.05', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",2.5,V,Cath
K0.5MnO2,"[{'K': '0.5', 'Mn': '1.0', 'O': '2.0'}]",1.5,V,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.45,V,Cath
LMO / LNMO,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.7,V,Cath
"C @ N-C @ N,P-C","[{'C': '1.0'}, {'C': '1.0'}]",1.33,V,Cath
Na2NiFe(CN)6,"[{'C': '6.0', 'N': '6.0', 'Na': '2.0', 'Ni': '1.0', 'Fe': '1.0'}]",1.27,V,Cath
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",4,V,Cath
Fe1âxS-600,"[{'Fe': '1-x', 'S': '1.0'}]",1.3,V,Anod
LiCo1âyNiyO2,"[{'Li': '1.0', 'Co': '1-y', 'Ni': 'y', 'O': '2.0'}]",4.2,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.3,V,Cath
MoO3,"[{'Mo': '1.0', 'O': '3.0'}]",2.05,V,Anod
NaxCo2 / 3Mn1 / 3O2,"[{'Na': 'x', 'Co': '0.6667', 'Mn': '0.3333', 'O': '2.0'}]",3.78,V,Cath
VOPO4 / C,"[{'V': '1.0', 'O': '5.0', 'P': '1.0'}, {'C': '1.0'}]",3.3,V,Cath
NVP,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",2,V,Anod
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",0.19,mVvs.,Anod
NaMnF3,"[{'Na': '1.0', 'Mn': '1.0', 'F': '3.0'}]",3.84,V,Cath
KPB,"[{'K': '1.0', 'P': '1.0', 'B': '1.0'}]",3.66,V,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",4.5,V,Cath
LiCo1.09Mn0.91O4,"[{'Li': '1.0', 'Co': '1.09', 'Mn': '0.91', 'O': '4.0'}]",3.2,V,Cath
Nd-doped Li3V2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",3.6,V,Cath
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",0.99,V,Anod
K0.3MnO2,"[{'K': '0.3', 'Mn': '1.0', 'O': '2.0'}]",4,V,Cath
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",1.7,V,Anod
Li2.1Ru0.9Co0.1O3,"[{'Li': '2.1', 'Ru': '0.9', 'Co': '0.1', 'O': '3.0'}]",3.6,V,Cath
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.3,V,Cath
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",4.6,V,Cath
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",1.8,Vvs.Li,Anod
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",3,V,Cath
Na0.44Mn0.6Ni0.4O2,"[{'Na': '0.44', 'Mn': '0.6', 'Ni': '0.4', 'O': '2.0'}]",4,V,Cath
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",2,VversusL,Cath
31-Na2C4O4,"[{'Na': '2.0', 'C': '4.0', 'O': '4.0'}]",3.85,V,Cath
V2O5-YS,"[{'V': '2.0', 'O': '5.0'}]",2.91,V,Cath
SnS2 / CNTs,"[{'Sn': '1.0', 'S': '2.0'}]",0.6,V,Anod
Mn2O3 / LiMn2O4,"[{'Mn': '2.0', 'O': '3.0'}, {'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",4.15,V,Cath
GeP5 / C,"[{'Ge': '1.0', 'P': '5.0'}, {'C': '1.0'}]",0.72,V,Anod
