Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm,Energy_in_Watt_hour_per_kg
CNF-Bi2O3,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,470.0,0.22,69.1,,
CNF-Bi2O3,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",45.016000000000005,Anod,470.0,0.324,69.1,,
,,45.07900000000001,,,3.0,,,
SiO1.1,"[{'Si': '1.0', 'O': '1.1'}]",45.6839,Anod,800.0,,,,
,,45.94,,,,,,1550.0
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,4.0,60.0,,
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,4.0,100.0,,
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,2.63,60.0,,
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,2.63,100.0,,
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,4.8,60.0,,
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,4.8,100.0,,
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,3.31,60.0,,
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,758.0,3.31,100.0,,
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.0,60.0,,
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.0,100.0,,
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,2.63,60.0,,
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,2.63,100.0,,
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.8,60.0,,
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.8,100.0,,
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,3.31,60.0,,
Li2S / GO,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,3.31,100.0,,
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,563.0,4.0,60.0,,
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,563.0,4.0,100.0,,
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,563.0,2.63,60.0,,
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,563.0,2.63,100.0,,
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,563.0,4.8,60.0,,
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,563.0,4.8,100.0,,
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,563.0,3.31,60.0,,
Li2SâCNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,563.0,3.31,100.0,,
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,500.0,4.0,60.0,,
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,500.0,4.0,100.0,,
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,500.0,2.63,60.0,,
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,500.0,2.63,100.0,,
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,500.0,4.8,60.0,,
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,500.0,4.8,100.0,,
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,500.0,3.31,60.0,,
Li2S @ C-CNT,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,500.0,3.31,100.0,,
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.0,60.0,,
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.0,100.0,,
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,2.63,60.0,,
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,2.63,100.0,,
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.8,60.0,,
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.8,100.0,,
Li2S / GO @ C,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,3.31,60.0,,
