Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm
Mn2O3,"[{'Mn': '2.0', 'O': '3.0'}]",157.873,Anod,1500.0,3.0,66.0,
PI-3,"[{'P': '1.0', 'I': '1.0'}]",157.874,Cath,522.0,4.4,,
MoP2,"[{'Mo': '1.0', 'P': '2.0'}]",157.898,Anod,1152.0,0.1,,
VPO4 @ C / graphene,"[{'V': '1.0', 'P': '1.0', 'O': '4.0', 'C': '1.0'}]",157.9225,Anod,1074.6,3.0,,
LiFe0.4Mn0.4Co0.2PO4 / C-based,"[{'Li': '1.0', 'Fe': '0.4', 'Mn': '0.4', 'Co': '0.2', 'P': '1.0', 'O': '4.0'}]",158.0098,Cath,163.3,5.0,,
,,158.02,,,3.85,,
KMnO4,"[{'K': '1.0', 'Mn': '1.0', 'O': '4.0'}]",158.032,Cath,243.5,2.8,,
LiFe3 / 4Co1 / 4PO4 / C,"[{'Li': '1.0', 'Fe': '0.75', 'Co': '0.25', 'P': '1.0', 'O': '4.0'}]",158.527,Cath,170.0,,,
,,158.96200000000002,,,3.0,,
Li0.99La0.01FePO4,"[{'Li': '0.99', 'La': '0.01', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",159.0747,Cath,123.0,,,
,,159.152,,,2.0,,
Fe1.7Mn0.3O3,"[{'Fe': '1.7', 'Mn': '0.3', 'O': '3.0'}]",159.4149,Anod,1000.0,,,
Li2.1Ru0.9Co0.1O3,"[{'Li': '2.1', 'Ru': '0.9', 'Co': '0.1', 'O': '3.0'}]",159.4273,Cath,250.0,3.6,,
Fe2O3-NA-1.5,"[{'Fe': '2.0', 'O': '3.0'}]",159.687,Anod,350.0,0.8,75.0,
Ru / Ni,"[{'Ru': '1.0'}, {'Ni': '1.0'}]",159.76299999999998,Cath,803.0,2.9,95.4,
MoS2,"[{'Mo': '1.0', 'S': '2.0'}]",160.07,Cath,453.0,0.45,100.0,
Li5.6Fe0.4Co0.6O4,"[{'Li': '5.6', 'Fe': '0.4', 'Co': '0.6', 'O': '4.0'}]",160.5578,Cath,200.0,,,
,,160.603,,,0.3,,
LiNi0.5Co0.5PO4,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.5', 'P': '1.0', 'O': '4.0'}]",160.723,Cath,50.0,4.8,,
LiCoPO4,"[{'Li': '1.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0'}]",160.84300000000002,Cath,100.0,5.0,,
CNT @ Li2MnSiO4,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}]",160.899,Cath,67.0,2.2,,
,,161.374,,,3.0,99.5,
,,161.587,,,2.58,,
Li2FeSiO4,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}]",161.806,Cath,94.0,4.2,,6e-14
V2O3 / C,"[{'V': '2.0', 'O': '3.0'}, {'C': '1.0'}]",161.891,Anod,1041.5,3.0,,
VOPO4,"[{'V': '1.0', 'O': '5.0', 'P': '1.0'}]",161.91049999999998,Cath,135.0,,,
SnO2 @ C,"[{'Sn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",162.719,Anod,1032.0,0.9,98.0,
SnS / C,"[{'Sn': '1.0', 'S': '1.0'}, {'C': '1.0'}]",162.78099999999998,Anod,320.0,,,
Li2RuO3,"[{'Li': '2.0', 'Ru': '1.0', 'O': '3.0'}]",162.947,Cath,106.1,,,
,,164.261,,,3.9,,
Nickel oxide,"[{'Ni': '2.0', 'O': '3.0'}]",165.38299999999998,Anod,1111.08,1.5,,
Al-doped LiAl0.2Cr0.8TiO4,"[{'Li': '1.0', 'Al': '0.2', 'Cr': '0.8', 'Ti': '1.0', 'O': '4.0'}]",165.7962,Anod,123.0,,,
Cobalt oxide,"[{'Co': '2.0', 'O': '3.0'}]",165.863,Anod,1036.0,2.75,,
LiFe0.9Mg0.1PO4 / C,"[{'Li': '1.0', 'Fe': '0.9', 'Mg': '0.1', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",166.612,Cath,153.0,,,
,,166.67,,,3.5,,
MnO2 @ TiO2,"[{'Mn': '1.0', 'O': '2.0'}, {'Ti': '1.0', 'O': '2.0'}]",166.801,Anod,400.0,,,
Se / NPCP,"[{'Se': '1.0'}, {'N': '1.0', 'P': '2.0', 'C': '1.0'}]",166.937,Cath,307.8,,,
,,167.32,,,2.0,97.0,
,,167.424,,,,99.5,
Ti3C2 / S @ PDA,"[{'Ti': '3.0', 'C': '2.0'}]",167.623,Cath,160.0,2.1,,
C6O6 @ graphene,"[{'C': '6.0', 'O': '6.0'}]",168.06,Cath,155.0,1.5,,
PIB,"[{'P': '1.0', 'I': '1.0', 'B': '1.0'}]",168.684,Anod,250.0,0.7,,
LiVOPO4,"[{'Li': '1.0', 'V': '1.0', 'O': '5.0', 'P': '1.0'}]",168.85049999999998,Cath,89.7,0.66,,
LiMnPO4 / C,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",168.859,Cath,137.4,4.5,,
Ammonium vanadate,"[{'N': '3.0', 'H': '12.0', 'V': '1.0', 'O': '4.0'}]",169.05450000000002,Cath,113.0,,,
LiMn0.7Fe0.3PO4 / C,"[{'Li': '1.0', 'Mn': '0.7', 'Fe': '0.3', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.1311,Cath,100.6,,,
LiMn0.6Fe0.4PO4 / C,"[{'Li': '1.0', 'Mn': '0.6', 'Fe': '0.4', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.2218,Cath,134.0,4.08,,
LiFe0.5Mn0.5PO4 / C,"[{'Li': '1.0', 'Fe': '0.5', 'Mn': '0.5', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.3125,Cath,66.77,,,
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",169.766,Cath,156.0,3.3,,
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",169.77,Anod,110.0,4.0,,
MnO2 @ C @ MnO,"[{'Mn': '1.0', 'O': '2.0'}, {'C': '1.0'}, {'Mn': '1.0', 'O': '1.0'}]",169.884,Anod,483.5,3.0,76.4,
,,169.896,,,4.2,,
Te / CFC,"[{'Te': '1.0'}, {'C': '2.0', 'F': '1.0'}]",170.61999999999998,Cath,316.7,,,
Fe2Co-TPDC,"[{'Fe': '2.0', 'Co': '1.0'}]",170.623,Cath,900.0,,,
,,170.799,,,3.25,,
,,171.416,,,1.1,,
Fe2O3 @ C,"[{'Fe': '2.0', 'O': '3.0'}, {'C': '1.0'}]",171.698,Anod,854.0,,,
LiVPO4F,"[{'Li': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",171.84949999999998,Cath,139.1,4.1,,
,,171.881,,,,100.0,
MoS2 / C,"[{'Mo': '1.0', 'S': '2.0'}, {'C': '1.0'}]",172.081,Anod,462.8,3.0,99.0,
CeO2,"[{'Ce': '1.0', 'O': '2.0'}]",172.118,Cath,135.93,,,
MgFeSiO4,"[{'Mg': '1.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}]",172.23100000000002,Cath,125.0,,,
LiNiPO4 @ C,"[{'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.614,Cath,167.0,,,
LiNi0.5Co0.5PO4 / C,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.5', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.734,Cath,74.0,4.71,,
LiCoPO4 / C,"[{'Li': '1.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.854,Cath,130.0,,,
,,172.889,,,1.6,,
CNT @ Li2MnSiO4 @ C,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",172.91,Cath,168.0,2.26,,
,,173.7237,,,4.8,,
NaFePO4,"[{'Na': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",173.805,Cath,125.0,,,
Li2FeSiO4 / C,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",173.817,Cath,146.0,3.2,,
,,173.92149999999998,,,3.3,,
SnSe0.5S0.5-180,"[{'Sn': '1.0', 'Se': '0.5', 'S': '0.5'}]",174.22549999999998,Anod,923.0,,,
Copper oxide,"[{'Cu': '2.0', 'O': '3.0'}]",175.089,Anod,800.0,1.0,,
Li1.09Mn1.91O4,"[{'Li': '1.09', 'Mn': '1.91', 'O': '4.0'}]",176.49218,Cath,91.0,4.3,,
,,176.6186,,,3.5,,
LiFePO4F,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",176.753,Cath,148.0,,,
,,176.893,,,4.4,,
LiFeSO4F0.56(OH)0.44,"[{'O': '4.44', 'H': '0.44', 'Li': '1.0', 'Fe': '1.0', 'S': '1.0', 'F': '0.56'}]",176.96296,Cath,98.4,,,
,,177.643,,,1.6,,
LiFeSO4F,"[{'Li': '1.0', 'Fe': '1.0', 'S': '1.0', 'O': '4.0', 'F': '1.0'}]",177.839,Cath,151.0,3.6,,
,,178.0164,,,3.0,,
MnP4,"[{'Mn': '1.0', 'P': '4.0'}]",178.834,Anod,350.0,,,
Si / PPY,"[{'Si': '1.0'}, {'P': '2.0', 'Y': '1.0'}]",178.93900000000002,Anod,1000.0,,,
,,178.96148000000002,,,4.0,,
VS4 @ rGO,"[{'V': '1.0', 'S': '4.0'}]",179.1815,Cath,180.0,1.82,,
LiAl0.05Mn1.95O4,"[{'Li': '1.0', 'Al': '0.05', 'Mn': '1.95', 'O': '4.0'}]",179.41420000000002,Cath,70.0,,,
SnSb0.5,"[{'Sn': '1.0', 'Sb': '0.5'}]",179.59,Anod,518.0,,,
FeS @ TiO2 @ C,"[{'Fe': '1.0', 'S': '1.0'}, {'Ti': '1.0', 'O': '2.0'}, {'C': '1.0'}]",179.78099999999998,Anod,384.0,3.0,,
Li1.01Mn1.99O4,"[{'Li': '1.01', 'Mn': '1.99', 'O': '4.0'}]",180.33202,Cath,120.0,,,
Si @ Si3N4 @ C,"[{'Si': '1.0'}, {'Si': '3.0', 'N': '4.0'}, {'C': '1.0'}]",180.379,Anod,1924.0,,,
,,180.453,,,2.0,,
,,180.507,,,1.0,,
LiCr0.1Mn1.9O4,"[{'Li': '1.0', 'Cr': '0.1', 'Mn': '1.9', 'O': '4.0'}]",180.5178,Cath,998.0,,,
LiNiVO4,"[{'Li': '1.0', 'Ni': '1.0', 'V': '1.0', 'O': '4.0'}]",180.5705,Cath,43.0,4.8,,
Li2SnO3,"[{'Li': '2.0', 'Sn': '1.0', 'O': '3.0'}]",180.587,Anod,956.3,,,
,,180.8105,,,,,1.16e-05
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",180.812,Cath,126.0,3.0,96.2,
LiCu0.01Cr0.01Mn1.98O4,"[{'Li': '1.0', 'Cu': '0.01', 'Cr': '0.01', 'Mn': '1.98', 'O': '4.0'}]",180.86866,Cath,112.0,,,
LiFe0.2Mn1.8O4,"[{'Li': '1.0', 'Fe': '0.2', 'Mn': '1.8', 'O': '4.0'}]",180.9934,Cath,40.0,4.8,,
Li1.05Mn2O4,"[{'Li': '1.05', 'Mn': '2.0', 'O': '4.0'}]",181.159,Cath,30.0,,,
,,181.2655,,,5.3,,
LiMn1.99Nd0.01O4,"[{'Li': '1.0', 'Mn': '1.99', 'Nd': '0.01', 'O': '4.0'}]",181.70502,Cath,149.0,4.3,,
LiCr0.2Ni0.4Mn1.4O4,"[{'Li': '1.0', 'Cr': '0.2', 'Ni': '0.4', 'Mn': '1.4', 'O': '4.0'}]",181.7256,Cath,145.5,4.0,,
LiLa0.01Zn0.01Mn1.98O4,"[{'Li': '1.0', 'La': '0.01', 'Zn': '0.01', 'Mn': '1.98', 'O': '4.0'}]",181.75614,Cath,118.0,,,
LiZn0.10Mn1.90O4,"[{'Li': '1.0', 'Zn': '0.1', 'Mn': '1.9', 'O': '4.0'}]",181.8562,Cath,71.0,,,
V2O5-YS,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,295.3,1.5,83.0,0.001
LiFe0.25Ni0.25Mn1.5O4,"[{'Li': '1.0', 'Fe': '0.25', 'Ni': '0.25', 'Mn': '1.5', 'O': '4.0'}]",181.9775,Cath,0.05,,,
,,182.0198,,,5.0,,
Cu / Sn,"[{'Cu': '1.0'}, {'Sn': '1.0'}]",182.256,Anod,430.0,,100.0,
LiNi0.4Mn1.6O4,"[{'Li': '1.0', 'Ni': '0.4', 'Mn': '1.6', 'O': '4.0'}]",182.314,Cath,146.0,5.0,,
,,182.35465,,,5.3,,
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,136.0,5.0,99.98,0.0068
S / SnO2 / C-HS,"[{'S': '1.0'}, {'Sn': '1.0', 'O': '2.0'}]",182.768,Cath,766.0,,,
LiMn1.5Co0.5O4,"[{'Li': '1.0', 'Mn': '1.5', 'Co': '0.5', 'O': '4.0'}]",182.8095,Cath,576.05,,,
SnS2,"[{'Sn': '1.0', 'S': '2.0'}]",182.83,Anod,472.78,0.6,98.0,
,,183.0778,,,2.63,,
K0.25Mn2O4,"[{'K': '0.25', 'Mn': '2.0', 'O': '4.0'}]",183.6465,Cath,124.0,,,
LiVPO4F / C,"[{'Li': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",183.8605,Cath,107.0,4.5,,
Cr2O5,"[{'Cr': '2.0', 'O': '5.0'}]",183.987,Cath,270.0,,,
Cu0.04V2O5,"[{'Cu': '0.04', 'V': '2.0', 'O': '5.0'}]",184.41984,Cath,260.0,,,
LiMn1.5Ni0.46Rh0.04O4,"[{'Li': '1.0', 'Mn': '1.5', 'Ni': '0.46', 'Rh': '0.04', 'O': '4.0'}]",184.45818,Cath,153.0,,,
,,184.618,,,3.13,,
Al / LiFePO4,"[{'Al': '1.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",184.737,Cath,70.0,,,
Li2CrMnO4,"[{'Li': '2.0', 'Cr': '1.0', 'Mn': '1.0', 'O': '4.0'}]",184.81,Cath,25.0,,,
,,184.9005,,,3.34,,
LiMn1.4Ni0.55Mo0.05O4,"[{'Li': '1.0', 'Mn': '1.4', 'Ni': '0.55', 'Mo': '0.05', 'O': '4.0'}]",184.92785,Cath,68.5,4.7,,
LiLa0.05Mn1.95O4,"[{'Li': '1.0', 'La': '0.05', 'Mn': '1.95', 'O': '4.0'}]",185.0106,Cath,106.0,,,
LiCe0.05Mn1.95O4,"[{'Li': '1.0', 'Ce': '0.05', 'Mn': '1.95', 'O': '4.0'}]",185.0711,Cath,71.0,,,
LiCo1.09Mn0.91O4,"[{'Li': '1.0', 'Co': '1.09', 'Mn': '0.91', 'O': '4.0'}]",185.16655,Cath,131.2,3.2,,
,,185.306,,,1.0,,
K0.08Cu0.92O1âÎ³ @ Ag,"[{'K': '0.08', 'Cu': '0.92', 'O': '1.0'}, {'Ag': '1.0'}]",185.45916,Anod,804.3,,,
SbS2 / graphene,"[{'Sb': '1.0', 'S': '2.0'}]",185.88,Anod,730.0,,,
SnSe0.5S0.5 / C,"[{'Sn': '1.0', 'Se': '0.5', 'S': '0.5'}, {'C': '1.0'}]",186.2365,Anod,437.0,3.0,70.0,
,,186.541,,,5.3,,
Ni / MoO2âÎ´,"[{'Ni': '1.0'}, {'Mo': '1.0', 'O': '2.0'}]",186.641,Anod,1630.9,,,
Fe0.5TiOPO4,"[{'Fe': '0.5', 'Ti': '1.0', 'O': '5.0', 'P': '1.0'}]",186.7585,Anod,200.0,4.0,,
Li2CoPO4F,"[{'Li': '2.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",186.781,Cath,136.0,2.0,,
Li2MnSiO4 / NC-2,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}, {'N': '1.0', 'C': '1.0'}]",186.917,Cath,263.1,,,
TiO2 / Ti2C,"[{'Ti': '1.0', 'O': '2.0'}, {'Ti': '2.0', 'C': '1.0'}]",187.61,Cath,227.3,,,
,,187.758,,,1.57,,
P4O4,"[{'P': '4.0', 'O': '4.0'}]",187.892,Cath,570.58,,,
,,187.8995,,,0.8,,
,,188.114,,,3.6,,
Cu0.1V2O5,"[{'Cu': '0.1', 'V': '2.0', 'O': '5.0'}]",188.2326,Cath,180.0,,,
Na0.282V2O5,"[{'Na': '0.282', 'V': '2.0', 'O': '5.0'}]",188.36118,Cath,164.0,,,
GeO2 / Ge / C,"[{'Ge': '1.0', 'O': '2.0'}, {'Ge': '1.0'}, {'C': '1.0'}]",189.269,Anod,1860.0,,,
,,189.4647,,,0.3,,
CoSn @ C,"[{'Co': '1.0', 'Sn': '1.0'}, {'C': '1.0'}]",189.654,Anod,231.3,0.2,,
,,189.6995,,,2.4,,
KFePO4,"[{'K': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",189.913,Cath,156.0,,,
Ni3NâCo3N @ CNT,"[{'Ni': '3.0', 'N': '1.0'}]",190.086,Anod,622.0,,,
Mg2FeH6-G / TiO2,"[{'Mg': '2.0', 'Fe': '1.0', 'H': '6.0'}, {'Ti': '1.0', 'O': '2.0'}]",190.368,Anod,412.0,,,
Li3FeF6 / CNTs,"[{'Li': '3.0', 'Fe': '1.0', 'F': '6.0'}]",190.653,Cath,80.0,2.9,,
,,190.804,,,1.5,,
,,190.87054,,,0.82,,
,,191.381,,,,5.03,
K0.25V2O5,"[{'K': '0.25', 'V': '2.0', 'O': '5.0'}]",191.6525,Cath,163.0,,,
RuO2 / Ni,"[{'Ru': '1.0', 'O': '2.0'}, {'Ni': '1.0'}]",191.761,Cath,1675.0,2.6,,
MoS2 / rGO / S,"[{'Mo': '1.0', 'S': '2.0'}, {'S': '1.0'}]",192.13,Cath,680.0,,,
5LMO-LTO / C,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}, {'C': '1.0'}]",192.823,Anod,162.3,,,
Mn0.2V2O5Â·0.9H2O,"[{'Mn': '0.2', 'V': '2.0', 'O': '5.0'}]",192.8656,Cath,300.0,,,
Fe3N @ C,"[{'Fe': '3.0', 'N': '1.0'}, {'C': '1.0'}]",193.553,Anod,676.0,,,
Na2FeSiO4,"[{'Na': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}]",193.906,Cath,119.0,,,
,,194.267,,,2.2,,
,,194.7005,,,4.4,,
S / C @ SnO2,"[{'S': '1.0'}, {'C': '1.0', 'Sn': '1.0', 'O': '2.0'}]",194.779,Cath,1180.0,,,
,,194.806,,,0.91,,
SnS2 @ C,"[{'Sn': '1.0', 'S': '2.0'}, {'C': '1.0'}]",194.841,Anod,755.0,,62.5,
Fe1.5(PO4)(OH),"[{'P': '1.0', 'O': '5.0', 'H': '1.0', 'Fe': '1.5'}]",195.7445,Cath,135.0,4.2,,
Li4C6O6,"[{'Li': '4.0', 'C': '6.0', 'O': '6.0'}]",195.82,Cath,250.0,,,
,,195.851,,,0.864,,
,,196.357,,,0.31,,
Pd / PNCNF-2,"[{'Pd': '1.0'}, {'P': '1.0', 'N': '2.0', 'C': '1.0', 'F': '1.0'}]",196.417,Cath,1926.0,4.14,,
,,196.9115,,,2.8,,
Na2CoSiO4,"[{'Na': '2.0', 'Co': '1.0', 'Si': '1.0', 'O': '4.0'}]",196.994,Cath,98.0,,,
,,197.114,,,2.5,,
SnSe,"[{'Sn': '1.0', 'Se': '1.0'}]",197.681,Anod,271.0,1.0,,
K2FeO4,"[{'K': '2.0', 'Fe': '1.0', 'O': '4.0'}]",198.037,Cath,169.8,0.55,,
MgMn2O4,"[{'Mg': '1.0', 'Mn': '2.0', 'O': '4.0'}]",198.177,Cath,247.0,,,
Zn0.25V2O5Â·nH2O,"[{'Zn': '0.25', 'V': '2.0', 'O': '5.0'}]",198.223,Cath,220.0,,,
Li2CoPO4F / C,"[{'Li': '2.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",198.792,Cath,127.0,,,
NaVPO4F / C,"[{'Na': '1.0', 'V': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}, {'C': '1.0'}]",199.9105,Cath,80.0,1.0,,
MgFe2O4,"[{'Mg': '1.0', 'Fe': '2.0', 'O': '4.0'}]",199.991,Anod,727.0,0.4,,
,,200.089,,,3.0,,
SnP0.6S2,"[{'Sn': '1.0', 'P': '0.6', 'S': '2.0'}]",201.4144,Anod,404.0,,,
,,202.664,,,2.0,,
Mo2C,"[{'Mo': '2.0', 'C': '1.0'}]",203.911,Anod,155.0,3.5,,
,,204.231,,,0.89,,
Fe2O3 / CNF,"[{'Fe': '2.0', 'O': '3.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",204.703,Anod,515.1,,,
,,205.706,,,0.13,,
Cu2Se,"[{'Cu': '2.0', 'Se': '1.0'}]",206.063,Cath,120.0,0.2,,
Li2S6,"[{'Li': '2.0', 'S': '6.0'}]",206.24,Cath,610.8,0.19,,
Na1.5VPO4.8F0.7,"[{'Na': '1.5', 'V': '1.0', 'P': '1.0', 'O': '4.8', 'F': '0.7'}]",206.4943,Cath,946.0,3.3,,
Cu2O / Cu,"[{'Cu': '2.0', 'O': '1.0'}, {'Cu': '1.0'}]",206.637,Anod,315.0,,,
Fe2F5Â·H2O / rGO,"[{'Fe': '2.0', 'F': '5.0'}]",206.68,Cath,153.7,,,
Li0.5Fe2.5O4,"[{'Li': '0.5', 'Fe': '2.5', 'O': '4.0'}]",207.0785,Anod,650.0,,,
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",207.091,Anod,400.0,1.4,,
SnP0.8S2,"[{'Sn': '1.0', 'P': '0.8', 'S': '2.0'}]",207.6092,Anod,1284.0,,,
Li3CrMnO5,"[{'Li': '3.0', 'Cr': '1.0', 'Mn': '1.0', 'O': '5.0'}]",207.749,Cath,200.0,4.3,,
RuO2 / NiO,"[{'Ru': '1.0', 'O': '2.0'}, {'Ni': '1.0', 'O': '1.0'}]",207.76,Cath,500.0,2.75,,
,,207.87,,,1.8,,
,,208.317,,,2.4,,
NaI / Ni,"[{'Na': '1.0', 'I': '1.0'}, {'Ni': '1.0'}]",208.58300000000003,Cath,126.0,2.605,100.0,
SnSe / C,"[{'Sn': '1.0', 'Se': '1.0'}, {'C': '1.0'}]",209.692,Anod,748.5,1.9,,
Na2C8H4O4,"[{'Na': '2.0', 'C': '8.0', 'H': '4.0', 'O': '4.0'}]",210.096,Anod,268.0,3.6,,
SiO2 @ SnO2 / rGO,"[{'Si': '1.0', 'O': '4.0', 'Sn': '1.0'}]",210.791,Anod,291.5,,,
NMC,"[{'Li': '1.0', 'Ni': '1.0', 'Mn': '1.0', 'Co': '1.0', 'O': '2.0'}]",211.502,Cath,125.0,3.7,99.0,
Hexacyanoferrate,"[{'C': '6.0', 'N': '6.0', 'Fe': '1.0'}]",211.953,Cath,60.0,0.127,75.0,
,,212.69845,,,,100.0,
RuO2 / mTiO2,"[{'Ru': '1.0', 'O': '2.0'}, {'Ti': '1.0', 'O': '2.0'}]",212.933,Cath,2000.0,4.0,,
Nickel sulfide,"[{'Ni': '2.0', 'S': '3.0'}]",213.566,Cath,800.0,,59.7,
NaTi2(PO4),"[{'P': '1.0', 'O': '4.0', 'Na': '1.0', 'Ti': '2.0'}]",213.694,Cath,102.0,,,
FeSe2âC / rGO,"[{'Fe': '1.0', 'Se': '2.0'}]",213.787,Anod,917.6,,52.55,
Cobalt sulphide,"[{'Co': '2.0', 'S': '3.0'}]",214.046,Anod,1000.0,,,
MnMoO4,"[{'Mn': '1.0', 'Mo': '1.0', 'O': '4.0'}]",214.884,Anod,800.0,,,
,,214.886,,,3.6,,
Na2FePO4F,"[{'Na': '2.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0', 'F': '1.0'}]",215.793,Cath,89.0,,,
CoSe2,"[{'Co': '1.0', 'Se': '2.0'}]",216.875,Anod,546.7,3.0,96.0,
,,217.614,,,0.2,,
Cu3Si-SCG,"[{'Cu': '3.0', 'Si': '1.0'}]",218.723,Anod,512.0,,,
CoMoO4,"[{'Co': '1.0', 'Mo': '1.0', 'O': '4.0'}]",218.879,Cath,1365.0,,,
S @ TiO2 / Ti2C,"[{'S': '1.0', 'Ti': '1.0', 'O': '2.0'}, {'Ti': '2.0', 'C': '1.0'}]",219.67,Cath,625.8,,,
,,220.0754,,,0.7,,
Li2MgSnO4,"[{'Li': '2.0', 'Mg': '1.0', 'Sn': '1.0', 'O': '4.0'}]",220.891,Anod,794.0,3.18,85.0,
Cu3P,"[{'Cu': '3.0', 'P': '1.0'}]",221.612,Cath,73.8,,,
TiP2O7,"[{'Ti': '1.0', 'P': '2.0', 'O': '7.0'}]",221.808,Anod,100.0,,90.0,
Manganese oxide,"[{'Mn': '2.0', 'O': '7.0'}]",221.86900000000003,Cath,308.0,2.5,,
CuO / Cu2O / Carbon,"[{'Cu': '1.0', 'O': '1.0'}, {'Cu': '2.0', 'O': '1.0'}]",222.636,Anod,491.0,,99.0,
,,222.85360000000003,,,0.02,,
Copper sulfide,"[{'Cu': '2.0', 'S': '3.0'}]",223.272,Cath,447.0,,,
SnP3 / C,"[{'Sn': '1.0', 'P': '3.0'}, {'C': '1.0'}]",223.643,Anod,810.0,,,
IrO2,"[{'Ir': '1.0', 'O': '2.0'}]",224.218,Cath,732.0,1.8,94.95,
CoSnO3âNC-120,"[{'Co': '1.0', 'Sn': '1.0', 'O': '3.0'}]",225.64,Anod,100.0,,,
FeSe2 / C,"[{'Fe': '1.0', 'Se': '2.0'}, {'C': '1.0'}]",225.798,Anod,364.5,,,
SnO2 @ C / Cu,"[{'Sn': '1.0', 'O': '2.0', 'C': '1.0'}, {'Cu': '1.0'}]",226.265,Anod,660.0,,,
HPC @ SnO2 / S,"[{'H': '1.0', 'P': '1.0', 'C': '1.0', 'Sn': '1.0', 'O': '2.0'}, {'S': '1.0'}]",226.761,Cath,800.0,,,
,,226.921,,,1.2,,
,,227.078,,,0.45,,
Mn3O4-G,"[{'Mn': '3.0', 'O': '4.0'}]",228.81000000000003,Anod,643.0,0.5,73.24,
CoSe2 @ C / CNTs,"[{'Co': '1.0', 'Se': '2.0', 'C': '1.0'}]",228.886,Anod,390.0,1.9,80.0,
,,229.87647,,,2.5,,
MnFe2O4,"[{'Mn': '1.0', 'Fe': '2.0', 'O': '4.0'}]",230.624,Anod,100.0,1.3,,
Mg2+ / Fâ co-doped LiNi0.5Mn1.5,"[{'Mg': '2.0'}, {'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",231.2995,Cath,115.0,,,
Fe3O4,"[{'Fe': '3.0', 'O': '4.0'}]",231.531,Anod,812.0,0.8,38.0,
Sn @ PVP-CX,"[{'Sn': '1.0'}, {'P': '2.0', 'V': '1.0'}]",231.5995,Anod,383.0,,,
Tungsten oxide,"[{'W': '1.0', 'O': '3.0'}]",231.837,Anod,481.0,4.5,74.5,
ZnSnO3,"[{'Zn': '1.0', 'Sn': '1.0', 'O': '3.0'}]",232.087,Anod,164.7,,35.1,
,,232.207,,,5.0,,
NiMn2O4 @ rGO-2,"[{'Ni': '1.0', 'Mn': '2.0', 'O': '4.0'}]",232.56500000000003,Anod,867.0,,61.7,
