Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm
Li1.2Ni0.2Mn0.6O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",85.0274,Cath,161.7,4.5,65.9,
Li1.2Mn0.6Ni0.1Co0.1O2,"[{'Li': '1.2', 'Mn': '0.6', 'Ni': '0.1', 'Co': '0.1', 'O': '2.0'}]",85.05140000000002,Cath,46.0,,84.0,
,,85.058335,,,0.1,,
Si / C @ CNF,"[{'Si': '1.0'}, {'C': '2.0', 'N': '1.0', 'F': '1.0'}]",85.11200000000001,Anod,1506.5,,,
Li1.2Mn0.56Ni0.16Co0.08O2,"[{'Li': '1.2', 'Mn': '0.56', 'Ni': '0.16', 'Co': '0.08', 'O': '2.0'}]",85.19680000000001,Cath,175.1,4.8,91.7,
Li1.2Ni0.15Mn0.55Co0.1O2,"[{'Li': '1.2', 'Ni': '0.15', 'Mn': '0.55', 'Co': '0.1', 'O': '2.0'}]",85.23915000000001,Cath,232.0,4.8,85.0,
Li1.2Mn0.54Ni0.13Co0.13O2,"[{'Li': '1.2', 'Mn': '0.54', 'Ni': '0.13', 'Co': '0.13', 'O': '2.0'}]",85.2839,Cath,11.0,1.75,86.1,
Li1.20Mn0.534Ni0.133Co0.133O2,"[{'Li': '1.2', 'Mn': '0.534', 'Ni': '0.133', 'Co': '0.133', 'O': '2.0'}]",85.30715000000001,Cath,235.5,,83.3,
Li1.2Ni0.17Co0.10Mn0.53O2,"[{'Li': '1.2', 'Ni': '0.17', 'Co': '0.1', 'Mn': '0.53', 'O': '2.0'}]",85.31425,Cath,220.0,,,
K+-doped Li1.2Ni0.2Co0.08Mn0.52O2,"[{'Li': '1.2', 'Ni': '0.2', 'Co': '0.08', 'Mn': '0.52', 'O': '2.0'}]",85.34700000000001,Cath,280.4,,,
Li1.1V0.9O2,"[{'Li': '1.1', 'V': '0.9', 'O': '2.0'}]",85.47935,Anod,250.0,,,
Li1.2Ni0.27Mn0.40Co0.13O2,"[{'Li': '1.2', 'Ni': '0.27', 'Mn': '0.4', 'Co': '0.13', 'O': '2.0'}]",85.8096,Cath,190.0,,,
Li1.2Mn0.4Co0.4O2,"[{'Li': '1.2', 'Mn': '0.4', 'Co': '0.4', 'O': '2.0'}]",85.87440000000001,Cath,195.0,4.6,,
MnP,"[{'Mn': '1.0', 'P': '1.0'}]",85.912,Anod,870.0,2.0,78.8,
,,86.1209,,,2.0,,
3Mn0.8Fe0.1Ti0.1O2,"[{'Mn': '0.8', 'Fe': '0.1', 'Ti': '0.1', 'O': '2.0'}]",86.31960000000001,Cath,144.16,4.0,,
,,86.485,,,2.0,,
Li1.17Ni0.25Mn0.58O2,"[{'Li': '1.17', 'Ni': '0.25', 'Mn': '0.58', 'O': '2.0'}]",86.65509,Cath,250.0,4.6,,
NiO / C,"[{'Ni': '1.0', 'O': '1.0'}, {'C': '1.0'}]",86.70299999999999,Anod,600.0,3.0,,
Ni / Si,"[{'Ni': '1.0'}, {'Si': '1.0'}]",86.77799999999999,Anod,4095.0,1.5,94.6,
BPCNF-900,"[{'B': '1.0', 'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",86.80000000000001,Anod,746.0,,,
FeP,"[{'Fe': '1.0', 'P': '1.0'}]",86.819,Anod,764.7,,100.0,
MnO2-280H,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Cath,915.0,3.0,38.0,1e-08
MnS-(ZnCo)S / N-C,"[{'Mn': '1.0', 'S': '1.0'}]",86.998,Anod,396.0,3.0,,
Li1.15(Ni0.36Mn0.64)0.85O2,"[{'Ni': '0.306', 'Mn': '0.544', 'Li': '1.15', 'O': '2.0'}]",87.82533000000001,Cath,220.0,,82.0,
FeHCF,"[{'Fe': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",87.86200000000001,Cath,50.0,,,
FeS,"[{'Fe': '1.0', 'S': '1.0'}]",87.905,Anod,703.0,,,
,,88.70599999999999,,,3.0,,
HCN @ TiN-S,"[{'H': '1.0', 'C': '1.0', 'N': '1.0'}, {'Ti': '1.0', 'N': '1.0'}]",88.9,Cath,1097.8,,98.0,
Li1.131Mn0.504Ni0.243Co0.122O2,"[{'Li': '1.131', 'Mn': '0.504', 'Ni': '0.243', 'Co': '0.122', 'O': '2.0'}]",88.988117,Cath,246.5,,,
,,89.018,,,3.4,,
SiO / CNF,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",89.10000000000001,Anod,700.0,,,
,,89.154572,,,4.75,,
Li0.33MnO2,"[{'Li': '0.33', 'Mn': '1.0', 'O': '2.0'}]",89.2262,Cath,200.0,,,
Nickel phosphide,"[{'Ni': '1.0', 'P': '1.0'}]",89.667,Anod,500.0,0.4,,
,,89.88325,,,4.2,,
CoP,"[{'Co': '1.0', 'P': '1.0'}]",89.907,Anod,500.0,3.0,,
Si @ TiN,"[{'Si': '1.0'}, {'Ti': '1.0', 'N': '1.0'}]",89.959,Anod,2048.8,,,
SiP2,"[{'Si': '1.0', 'P': '2.0'}]",90.033,Anod,491.0,,,
,,90.06,,,3.0,,
,,90.691,,,4.2,,
NiHCF,"[{'Ni': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",90.71,Cath,60.0,3.3,,
NiS,"[{'Ni': '1.0', 'S': '1.0'}]",90.753,Cath,153.0,,,
,,90.842,,,1.8,,
Li1.3Nb0.3Mn0.4O2,"[{'Li': '1.3', 'Nb': '0.3', 'Mn': '0.4', 'O': '2.0'}]",90.867,Cath,300.0,,,
LiCrO2Â·Li2MnO3,"[{'Li': '1.0', 'Cr': '1.0', 'O': '2.0'}]",90.934,Cath,172.0,2.73,85.0,
Li2S / CNF,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",90.95600000000002,Cath,520.0,,,
Se / C,"[{'Se': '1.0'}, {'C': '1.0'}]",90.982,Cath,600.0,,95.0,
CoS @ 1T-MoS2,"[{'Co': '1.0', 'S': '1.0'}]",90.993,Anod,1294.0,,,
LiCr0.33V0.33Mn0.33O2,"[{'Li': '1.0', 'Cr': '0.33', 'V': '0.33', 'Mn': '0.33', 'O': '2.0'}]",91.036915,Cath,210.0,,,
SiVC-2,"[{'Si': '1.0', 'V': '1.0', 'C': '1.0'}]",91.0375,Anod,901.0,,,
,,91.631,,,1.6,,
NiOOH,"[{'Ni': '1.0', 'O': '2.0', 'H': '1.0'}]",91.699,Cath,275.0,1.15,,
TiO2 / C,"[{'Ti': '1.0', 'O': '2.0'}, {'C': '1.0'}]",91.876,Anod,207.0,,84.2,
,,91.97925,,,2.85,,
Orthosilicate,"[{'Si': '1.0', 'O': '4.0'}]",92.081,Cath,14.0,2.5,,
Ni(OH)2,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",92.707,Cath,289.0,0.1,,
Li2Se,"[{'Li': '2.0', 'Se': '1.0'}]",92.851,Cath,100.0,2.4,,
MnF2,"[{'Mn': '1.0', 'F': '2.0'}]",92.934,Anod,540.0,,100.0,
Co(OH)2,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",92.947,Anod,690.0,,,
,,93.075,,,4.1,,
LiAl0.15Co0.85O2,"[{'Li': '1.0', 'Al': '0.15', 'Co': '0.85', 'O': '2.0'}]",93.07835,Cath,160.0,,,
ZnO / C,"[{'Zn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",93.39,Anod,650.0,,,
LiMn0.95Cr0.05O2,"[{'Li': '1.0', 'Mn': '0.95', 'Cr': '0.05', 'O': '2.0'}]",93.7289,Cath,170.0,,,
VO2(B),"[{'B': '1.0', 'V': '1.0', 'O': '2.0'}]",93.7495,Cath,500.0,,,
,,93.876,,,2.5,,
TiN-C / sulfur,"[{'Ti': '1.0', 'N': '1.0'}, {'S': '1.0'}]",93.934,Cath,989.0,,,
LiNi0.8Co0.1Al0.1O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.1', 'Al': '0.1', 'O': '2.0'}]",94.4839,Cath,140.0,,89.0,
LiNi0.75Co0.15Al0.10O2,"[{'Li': '1.0', 'Ni': '0.75', 'Co': '0.15', 'Al': '0.1', 'O': '2.0'}]",94.4959,Cath,172.2,,,
Phosphate,"[{'P': '1.0', 'O': '4.0'}]",94.97,Cath,197.0,1.5,,
SiMn / C,"[{'Si': '1.0', 'Mn': '1.0'}, {'C': '1.0'}]",95.034,Anod,426.0,,,
PEDOT : PSS-Mg2+,"[{'P': '1.0', 'S': '2.0'}]",95.094,Cath,1219.0,,,
LiNi0.2Mn0.6Co0.2O2,"[{'Li': '1.0', 'Ni': '0.2', 'Mn': '0.6', 'Co': '0.2', 'O': '2.0'}]",95.426,Cath,258.0,,,
CuHCF,"[{'Cu': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",95.563,Cath,10.0,0.05,,
,,95.592,,,0.85,,
CuS,"[{'Cu': '1.0', 'S': '1.0'}]",95.606,Anod,1087.1,1.1,98.8,
LiNi0.5Mn0.5O2,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '0.5', 'O': '2.0'}]",95.7535,Cath,120.3,5.11,78.0,
S0.6Se0.4 @ CNF,"[{'S': '0.6', 'Se': '0.4'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",95.84040000000002,Cath,346.0,,,
Li2S / KB / CNT,"[{'Li': '2.0', 'S': '1.0'}, {'K': '1.0', 'B': '1.0'}]",95.848,Cath,200.0,,,
Titanate,"[{'Ti': '1.0', 'O': '3.0'}]",95.864,Anod,440.8,4.7,,
,,95.88412,,,4.5,,
NVP,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",95.9225,Cath,100.2,2.0,99.5,
,,95.926,,,0.759,,
LiNi0.45Mn0.45Co0.1O2,"[{'Li': '1.0', 'Ni': '0.45', 'Mn': '0.45', 'Co': '0.1', 'O': '2.0'}]",95.96525,Cath,168.0,4.3,,
,,96.056,,,3.2,,
LiNi0.8Co0.15Al0.05O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.15', 'Al': '0.05', 'O': '2.0'}]",96.08145,Cath,25.0,4.33,82.2,
LiNi0.4Mn0.4Co0.2O2,"[{'Li': '1.0', 'Ni': '0.4', 'Mn': '0.4', 'Co': '0.2', 'O': '2.0'}]",96.177,Cath,181.0,4.5,,
LiCo0.95Al0.05O2,"[{'Li': '1.0', 'Co': '0.95', 'Al': '0.05', 'O': '2.0'}]",96.27345,Cath,141.0,,,
,,96.282875,,,3.9,,
LiNi1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",96.4535812,Cath,160.0,4.6,93.0,
,,96.536,,,4.04,,
LiNi0.5Co0.2Mn0.3O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3', 'O': '2.0'}]",96.5525,Cath,76.0,3.0,,0.001
,,96.6005,,,4.2,,
,,96.6204,,,4.2,,
,,96.69647,,,3.72,,
LiNi0.82Co0.15Al0.03O2,"[{'Li': '1.0', 'Ni': '0.82', 'Co': '0.15', 'Al': '0.03', 'O': '2.0'}]",96.71567,Cath,105.0,,,
LiNi0.5Mn0.25Co0.25O2,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '0.25', 'Co': '0.25', 'O': '2.0'}]",96.75225,Cath,156.0,,,
Li1.05Ni1 / 3Co1 / 3Mn1 / 3O2,"[{'Li': '1.05', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",96.8005812,Cath,158.0,2.5,,
,,96.8289,,,,85.1,
Li1.10Ni0.30Co0.30Mn0.40O2,"[{'Li': '1.1', 'Ni': '0.3', 'Co': '0.3', 'Mn': '0.4', 'O': '2.0'}]",96.895,Cath,158.0,,,
LiNi0.6Co0.2Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",96.928,Cath,145.5,4.6,83.8,
LiNi0.5Co0.3Mn0.2O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.3', 'Mn': '0.2', 'O': '2.0'}]",96.952,Cath,135.4,,,
MnO @ NC-Z,"[{'Mn': '1.0', 'O': '1.0'}, {'N': '1.0', 'C': '1.0'}]",96.955,Anod,945.0,0.88,,
LiNi0.2Mn0.2Co0.6O2,"[{'Li': '1.0', 'Ni': '0.2', 'Mn': '0.2', 'Co': '0.6', 'O': '2.0'}]",97.024,Cath,160.0,,,
Na0.44MnO2,"[{'Na': '0.44', 'Mn': '1.0', 'O': '2.0'}]",97.0516,Cath,150.0,2.0,,
LiNi0.7Co0.15Mn0.15O2,"[{'Li': '1.0', 'Ni': '0.7', 'Co': '0.15', 'Mn': '0.15', 'O': '2.0'}]",97.10375,Cath,214.8,,93.3,
