Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
Glycine,"[{'N': '1.0', 'H': '5.0', 'C': '2.0', 'O': '2.0'}]",75.067,Cathode,120,2.5,90,0.853013184
Ni0.8Co0.1Mn0.1O1.1,"[{'Ni': '0.8', 'Co': '0.1', 'Mn': '0.1', 'O': '1.1'}]",75.9404,Anode,750,2.5,90,0.853013184
PNP @ CNTs,"[{'P': '2.0', 'N': '1.0'}]",75.955,Anode,125,3,100,0.375
PCNF,"[{'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",75.99,Anode,201.8,2.5,44,0.853013184
S / HPC,"[{'S': '1.0'}, {'H': '1.0', 'P': '1.0', 'C': '1.0'}]",76.053,Cathode,1377,2.5,100,0.853013184
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",76.695,Anode,891,3,62,2.673
CVO,"[{'C': '1.0', 'V': '1.0', 'O': '1.0'}]",78.9515,Anode,1041,2.5,90,0.853013184
LiC6,"[{'Li': '1.0', 'C': '6.0'}]",79.006,Anode,200,1.5,75,0.3
LFS / FSO / C,"[{'F': '1.0', 'S': '1.0', 'O': '1.0'}, {'C': '1.0'}]",79.068,Cathode,74,2.5,90,0.853013184
CuO-CF,"[{'Cu': '1.0', 'O': '1.0'}]",79.545,Anode,152.2,1.4,99,0.8
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anode,119,0.38,97,0.44
Li1.27Cr0.2Mn0.53O2,"[{'Li': '1.27', 'Cr': '0.2', 'Mn': '0.53', 'O': '2.0'}]",80.32814,Cathode,280,2.5,90,0.853013184
Zn0.91Co0.09O,"[{'Zn': '0.91', 'Co': '0.09', 'O': '1.0'}]",80.79877,Anode,1000,2.5,90,0.853013184
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",81.379,Anode,1504,1.637,70,2.462048
VO2,"[{'V': '1.0', 'O': '2.0'}]",82.9395,Anode,235,0.3,35,0.0705
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",82.948,Anode,776,0.5,69.2,0.397
Li1.23Mn0.46Fe0.15Ni0.15O2,"[{'Li': '1.23', 'Mn': '0.46', 'Fe': '0.15', 'Ni': '0.15', 'O': '2.0'}]",82.98638,Cathode,255,2.5,90,0.853013184
Li1.2Cr0.4Mn0.4O2,"[{'Li': '1.2', 'Cr': '0.4', 'Mn': '0.4', 'O': '2.0'}]",83.0996,Cathode,150,2.5,90,0.853013184
Si / B4C / graphite,"[{'Si': '1.0'}, {'B': '4.0', 'C': '1.0'}]",83.336,Anode,822,2.5,90,0.853013184
Li1.231Mn0.615Ni0.154O2,"[{'Li': '1.231', 'Mn': '0.615', 'Ni': '0.154', 'O': '2.0'}]",83.366732,Cathode,180,4.8,90,0.906
FeSi,"[{'Fe': '1.0', 'Si': '1.0'}]",83.93,Anode,500,2.5,90,0.853013184
AlF3,"[{'Al': '1.0', 'F': '3.0'}]",83.976,Cathode,1119,2.29,98.1,2.56251
Ge @ C,"[{'Ge': '1.0'}, {'C': '1.0'}]",84.641,Anode,1163.9,2.5,99,0.853013184
Li1.2Ni0.2Mn0.6O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",85.0274,Cathode,161.7,4.5,65.9,0.72765
Li1.2Mn0.6Ni0.1Co0.1O2,"[{'Li': '1.2', 'Mn': '0.6', 'Ni': '0.1', 'Co': '0.1', 'O': '2.0'}]",85.0514,Cathode,46,2.5,84,0.853013184
