Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Li1.23Mn0.46Fe0.15Ni0.15O2,"[{'Li': '1.23', 'Mn': '0.46', 'Fe': '0.15', 'Ni': '0.15', 'O': '2.0'}]",82.98638000000001,Cathode,255.0,2.194840252955733,82.96507552238806
Li1.2Cr0.4Mn0.4O2,"[{'Li': '1.2', 'Cr': '0.4', 'Mn': '0.4', 'O': '2.0'}]",83.09960000000001,Cathode,150.0,2.194840252955733,82.96507552238806
Si / B4C / graphite,"[{'Si': '1.0'}, {'B': '4.0', 'C': '1.0'}]",83.336,Anode,822.0,2.194840252955733,82.96507552238806
Li1.231Mn0.615Ni0.154O2,"[{'Li': '1.231', 'Mn': '0.615', 'Ni': '0.154', 'O': '2.0'}]",83.366732,Cathode,180.0,4.8,82.96507552238806
FeSi,"[{'Fe': '1.0', 'Si': '1.0'}]",83.93,Anode,500.0,2.194840252955733,82.96507552238806
AlF3,"[{'Al': '1.0', 'F': '3.0'}]",83.976,Cathode,1119.0,2.29,98.1
Ge @ C,"[{'Ge': '1.0'}, {'C': '1.0'}]",84.64099999999999,Anode,1163.9,2.194840252955733,99.0
Li1.2Ni0.2Mn0.6O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",85.0274,Cathode,161.7,4.5,65.9
Li1.2Mn0.6Ni0.1Co0.1O2,"[{'Li': '1.2', 'Mn': '0.6', 'Ni': '0.1', 'Co': '0.1', 'O': '2.0'}]",85.05140000000002,Cathode,46.0,2.194840252955733,84.0
Si / C @ CNF,"[{'Si': '1.0'}, {'C': '2.0', 'N': '1.0', 'F': '1.0'}]",85.11200000000001,Anode,1506.5,2.194840252955733,82.96507552238806
Li1.2Mn0.56Ni0.16Co0.08O2,"[{'Li': '1.2', 'Mn': '0.56', 'Ni': '0.16', 'Co': '0.08', 'O': '2.0'}]",85.19680000000001,Cathode,175.1,4.8,91.7
Li1.2Ni0.15Mn0.55Co0.1O2,"[{'Li': '1.2', 'Ni': '0.15', 'Mn': '0.55', 'Co': '0.1', 'O': '2.0'}]",85.23915000000001,Cathode,232.0,4.8,85.0
Li1.2Mn0.54Ni0.13Co0.13O2,"[{'Li': '1.2', 'Mn': '0.54', 'Ni': '0.13', 'Co': '0.13', 'O': '2.0'}]",85.2839,Cathode,11.0,1.75,86.1
Li1.20Mn0.534Ni0.133Co0.133O2,"[{'Li': '1.2', 'Mn': '0.534', 'Ni': '0.133', 'Co': '0.133', 'O': '2.0'}]",85.30715000000001,Cathode,235.5,2.194840252955733,83.3
Li1.2Ni0.17Co0.10Mn0.53O2,"[{'Li': '1.2', 'Ni': '0.17', 'Co': '0.1', 'Mn': '0.53', 'O': '2.0'}]",85.31425,Cathode,220.0,2.194840252955733,82.96507552238806
K+-doped Li1.2Ni0.2Co0.08Mn0.52O2,"[{'Li': '1.2', 'Ni': '0.2', 'Co': '0.08', 'Mn': '0.52', 'O': '2.0'}]",85.34700000000001,Cathode,280.4,2.194840252955733,82.96507552238806
Li1.1V0.9O2,"[{'Li': '1.1', 'V': '0.9', 'O': '2.0'}]",85.47935,Anode,250.0,2.194840252955733,82.96507552238806
Li1.2Ni0.27Mn0.40Co0.13O2,"[{'Li': '1.2', 'Ni': '0.27', 'Mn': '0.4', 'Co': '0.13', 'O': '2.0'}]",85.8096,Cathode,190.0,2.194840252955733,82.96507552238806
Li1.2Mn0.4Co0.4O2,"[{'Li': '1.2', 'Mn': '0.4', 'Co': '0.4', 'O': '2.0'}]",85.87440000000001,Cathode,195.0,4.6,82.96507552238806
MnP,"[{'Mn': '1.0', 'P': '1.0'}]",85.912,Anode,870.0,2.0,78.8
3Mn0.8Fe0.1Ti0.1O2,"[{'Mn': '0.8', 'Fe': '0.1', 'Ti': '0.1', 'O': '2.0'}]",86.31960000000001,Cathode,144.16,4.0,82.96507552238806
Li1.17Ni0.25Mn0.58O2,"[{'Li': '1.17', 'Ni': '0.25', 'Mn': '0.58', 'O': '2.0'}]",86.65509,Cathode,250.0,4.6,82.96507552238806
NiO / C,"[{'Ni': '1.0', 'O': '1.0'}, {'C': '1.0'}]",86.70299999999999,Anode,600.0,3.0,82.96507552238806
